Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
AR Patel,2022-2024,9,9,33,0,208,15,Mar-16,13.86,6.3,13.2,0,0
JJ Bumrah,2017-2024,10,10,35,0,269,10,Mar-16,26.9,7.68,21,0,0
Ravi Bishnoi,2023-2023,5,5,20,0,164,9,Mar-32,18.22,8.2,13.3,0,0
YS Chahal,2017-2022,10,10,35.5,0,320,8,Mar-25,40,8.93,26.8,0,0
Kuldeep Yadav,2017-2024,6,6,24,0,152,8,Feb-16,19,6.33,18,0,0
Arshdeep Singh,2023-2024,5,5,20,0,208,7,Mar-37,29.71,10.4,17.1,0,0
T Natarajan,2020-2020,3,3,12,0,83,6,Mar-30,13.83,6.91,12,0,0
KH Pandya,2018-2019,5,5,20,0,167,6,Apr-36,27.83,8.35,20,1,0
B Kumar,2017-2022,7,7,23.4,0,196,5,Feb-20,39.2,8.28,28.4,0,0
Mukesh Kumar,2023-2023,4,4,16,0,146,4,Mar-32,36.5,9.12,24,0,0
M Prasidh Krishna,2023-2023,3,3,12,0,159,4,Mar-41,39.75,13.25,18,0,0
KK Ahmed,2018-2018,3,3,11,0,116,3,Feb-39,38.66,10.54,22,0,0
DL Chahar,2020-2023,4,4,16,0,155,3,Feb-44,51.66,9.68,32,0,0
Avesh Khan,2023-2023,3,3,12,0,109,2,Jan-33,54.5,9.08,36,0,0
V Shankar,2019-2019,1,1,4,0,38,2,Feb-38,19,9.5,12,0,0
SN Thakur,2020-2020,2,2,8,0,82,2,Jan-39,41,10.25,24,0,0
Washington Sundar,2020-2020,3,3,12,0,85,2,Feb-34,42.5,7.08,36,0,0
UT Yadav,2019-2022,2,2,6,0,62,2,Feb-27,31,10.33,18,0,0
S Kaul,2019-2019,1,1,3.4,0,45,1,Jan-45,45,12.27,22,0,0
HH Pandya,2017-2024,9,6,16,0,148,1,Jan-33,148,9.25,96,0,0
HV Patel,2022-2022,3,3,8,0,99,1,Jan-18,99,12.37,48,0,0
RA Jadeja,2020-2024,2,1,1,0,17,0,-,-,17,-,0,0
M Markande,2019-2019,1,1,4,0,31,0,-,-,7.75,-,0,0
Mohammed Shami,2020-2020,1,1,4,0,46,0,-,-,11.5,-,0,0
