Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
YS Chahal,2017-2022,11,11,42,0,338,16,Jun-25,21.12,8.04,15.7,0,1
HH Pandya,2017-2024,15,14,44,0,356,14,Apr-33,25.42,8.09,18.8,2,0
JJ Bumrah,2017-2024,5,5,15.2,1,82,9,Mar-14,9.11,5.34,10.2,0,0
B Kumar,2018-2022,10,10,33.4,2,229,9,Mar-15,25.44,6.8,22.4,0,0
Kuldeep Yadav,2018-2024,3,3,12,0,77,8,May-24,9.62,6.41,9,0,1
SN Thakur,2021-2021,5,5,17.2,0,168,8,Mar-42,21,9.69,13,0,0
UT Yadav,2018-2018,3,3,12,0,105,5,Feb-21,21,8.75,14.4,0,0
HV Patel,2022-2022,3,3,11,0,93,4,Feb-35,23.25,8.45,16.5,0,0
Washington Sundar,2021-2021,5,5,15.3,0,138,4,Feb-29,34.5,8.9,23.2,0,0
A Nehra,2017-2017,3,3,10,1,83,3,Mar-28,27.66,8.3,20,0,0
AR Patel,2021-2024,4,4,13,0,100,3,Mar-23,33.33,7.69,26,0,0
Arshdeep Singh,2022-2024,3,3,7.3,1,50,2,Feb-18,25,6.66,22.5,0,0
RD Chahar,2021-2021,2,2,7,0,68,2,Feb-35,34,9.71,21,0,0
S Kaul,2018-2018,1,1,4,0,35,2,Feb-35,17.5,8.75,12,0,0
A Mishra,2017-2017,2,2,8,0,48,2,Jan-23,24,6,24,0,0
Ravi Bishnoi,2022-2022,1,1,4,0,30,2,Feb-30,15,7.5,12,0,0
Avesh Khan,2022-2022,1,1,4,0,43,1,Jan-43,43,10.75,24,0,0
DL Chahar,2018-2018,1,1,4,0,43,1,Jan-43,43,10.75,24,0,0
T Natarajan,2021-2021,1,1,4,0,39,1,Jan-39,39,9.75,24,0,0
Parvez Rasool,2017-2017,1,1,4,0,32,1,Jan-32,32,8,24,0,0
Umran Malik,2022-2022,1,1,4,0,56,1,Jan-56,56,14,24,0,0
R Ashwin,2022-2022,1,1,2,0,27,0,-,-,13.5,-,0,0
RA Jadeja,2022-2024,3,3,9,0,83,0,-,-,9.22,-,0,0
Mohammed Shami,2022-2022,1,1,3,0,39,0,-,-,13,-,0,0
SK Raina,2017-2018,6,3,7,0,69,0,-,-,9.85,-,0,0
