Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
HH Pandya,2021-2024,5,4,16,0,123,9,Mar-25,13.66,7.68,10.6,0,0
Arshdeep Singh,2022-2024,4,4,15.4,0,123,7,Mar-32,17.57,7.85,13.4,0,0
B Kumar,2021-2022,4,4,15,0,113,6,Apr-26,18.83,7.53,15,1,0
JJ Bumrah,2021-2024,2,2,7,0,36,3,Mar-14,12,5.14,14,0,0
Avesh Khan,2022-2022,1,1,2,0,19,1,Jan-19,19,9.5,12,0,0
YS Chahal,2022-2022,2,2,8,0,75,1,Jan-43,75,9.37,48,0,0
Mohammed Shami,2021-2022,2,2,7.5,0,68,1,Jan-25,68,8.68,47,0,0
AR Patel,2022-2024,2,2,3,0,32,1,01-Nov,32,10.66,18,0,0
Ravi Bishnoi,2022-2022,1,1,4,0,26,1,Jan-26,26,6.5,24,0,0
R Ashwin,2022-2022,1,1,3,0,23,0,-,-,7.66,-,0,0
RA Jadeja,2021-2024,3,3,8,0,49,0,-,-,6.12,-,0,0
Mohammed Siraj,2024-2024,1,1,4,0,19,0,-,-,4.75,-,0,0
CV Varun,2021-2021,1,1,4,0,33,0,-,-,8.25,-,0,0
