Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
KS Williamson,2021-2024,2,2,1,49,40*,49,55,89.09,0,0,0,4,0
DP Conway,2021-2024,2,2,1,44,36*,44,42,104.76,0,0,0,5,0
MJ Guptill,2021-2021,1,1,0,28,28,28,23,121.73,0,0,0,4,0
DJ Mitchell,2021-2024,2,2,0,22,17,11,17,129.41,0,0,0,4,0
GD Phillips,2021-2024,2,1,0,18,18,18,18,100,0,0,0,2,0
MJ Henry,2024-2024,1,1,0,12,12,12,17,70.58,0,0,0,0,1
MS Chapman,2024-2024,1,1,0,4,4,4,7,57.14,0,0,0,0,0
MJ Santner,2021-2024,2,1,0,4,4,4,8,50,0,0,0,0,0
TA Boult,2021-2024,2,1,1,3,3*,-,7,42.85,0,0,0,0,0
LH Ferguson,2024-2024,1,1,0,2,2,2,5,40,0,0,0,0,0
FH Allen,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
MG Bracewell,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
