Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Fced,Strike Rate,100s,50s,0's,4's,6's
MJ Guptill,2018-2021,9,9,0,377,105,41.88,246,153.25,1,2,1,28,25
DP Conway,2021-2024,8,7,2,347,99*,69.4,241,143.98,0,3,0,31,9
GD Phillips,2021-2024,10,10,3,217,42,31,151,143.7,0,0,0,17,13
KS Williamson,2018-2022,10,10,0,208,85,20.8,170,122.35,0,2,1,16,8
JDS Neesham,2021-2022,7,6,3,113,45*,37.66,57,198.24,0,0,1,4,9
C Munro,2018-2018,3,3,0,108,76,36,50,216,0,1,0,9,8
FH Allen,2022-2024,4,4,0,93,42,23.25,48,193.75,0,0,0,7,8
LRPL Taylor,2018-2018,3,3,2,84,43*,84,79,106.32,0,0,0,3,3
MS Chapman,2018-2024,8,7,3,80,18*,20,66,121.21,0,0,0,5,2
R Ravindra,2024-2024,1,1,0,68,68,68,35,194.28,0,1,0,2,6
TL Seifert,2018-2024,9,8,1,52,19,7.42,68,76.47,0,0,0,6,1
C de Grandhomme,2018-2018,3,3,1,51,38*,25.5,34,150,0,0,0,2,3
KA Jamieson,2021-2021,4,3,1,41,30,20.5,27,151.85,0,0,0,7,0
TG Southee,2018-2024,11,5,0,31,9,6.2,22,140.9,0,0,0,2,2
TA Boult,2018-2024,12,4,3,23,16,23,18,127.77,0,0,0,2,1
WA Young,2024-2024,2,2,0,19,14,9.5,14,135.71,0,0,0,2,1
MJ Santner,2018-2024,11,6,1,18,7*,3.6,29,62.06,0,0,2,2,0
TA Blundell,2018-2018,1,1,0,14,14,14,16,87.5,0,0,0,0,0
IS Sodhi,2018-2024,12,4,0,14,13,3.5,23,60.86,0,0,2,0,1
DJ Mitchell,2021-2021,1,1,0,11,11,11,8,137.5,0,0,0,0,1
JA Clarkson,2024-2024,3,1,0,10,10,10,13,76.92,0,0,0,1,0
LH Ferguson,2022-2024,3,1,0,4,4,4,7,57.14,0,0,0,0,0
TC Bruce,2018-2018,1,1,0,3,3,3,3,100,0,0,0,0,0
BV Sears,2024-2024,2,1,1,2,2*,-,6,33.33,0,0,0,0,0
BM Wheeler,2018-2018,1,1,1,1,1*,-,2,50,0,0,0,0,0
AF Milne,2021-2024,4,1,0,0,0,0,1,0,0,0,1,0,0
