Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
FH Allen,2021-2023,11,11,0,245,71,22.27,158,155.06,0,1,1,27,13
DP Conway,2021-2022,5,4,2,241,92*,120.5,152,158.55,0,3,0,25,7
GD Phillips,2021-2023,8,8,4,189,60,47.25,99,190.9,0,2,1,12,12
KS Williamson,2017-2022,4,4,1,175,73*,58.33,154,113.63,0,2,0,14,3
WA Young,2021-2021,8,7,0,166,53,23.71,162,102.46,0,1,0,15,6
TWM Latham,2021-2021,5,5,2,159,65*,53,146,108.9,0,2,0,10,3
MJ Guptill,2021-2022,4,4,0,134,44,33.5,91,147.25,0,0,0,9,9
CJ Anderson,2017-2017,3,3,1,111,94*,55.5,58,191.37,0,1,0,4,10
JDS Neesham,2017-2023,7,5,2,102,48,34,72,141.66,0,0,0,8,5
C Munro,2017-2017,3,3,0,101,101,33.66,59,171.18,1,0,2,7,7
HM Nicholls,2021-2021,5,5,1,81,36*,20.25,84,96.42,0,0,0,7,0
DJ Mitchell,2021-2023,6,5,2,78,34*,26,66,118.18,0,0,0,10,0
TC Bruce,2017-2017,3,3,1,71,59*,35.5,52,136.53,0,1,0,6,1
C de Grandhomme,2017-2021,8,8,2,65,41*,10.83,52,125,0,0,2,3,4
R Ravindra,2021-2021,5,5,0,47,20,9.4,47,100,0,0,2,5,1
MJ Santner,2017-2023,6,3,1,45,23,22.5,46,97.82,0,0,0,3,0
TL Seifert,2023-2023,3,3,0,44,43,14.66,29,151.72,0,0,1,6,1
TA Blundell,2017-2021,5,4,1,42,30*,14,54,77.77,0,0,0,4,0
CE McConchie,2021-2021,5,4,2,32,17*,16,28,114.28,0,0,2,3,0
MS Chapman,2021-2023,8,5,1,29,19,7.25,35,82.85,0,0,0,3,1
AF Milne,2021-2023,7,1,1,16,16*,-,12,133.33,0,0,0,0,2
TG Southee,2021-2023,8,1,0,8,8,8,10,80,0,0,0,1,0
AY Patel,2021-2021,5,2,0,7,4,3.5,14,50,0,0,0,0,0
NT Broom,2017-2017,1,1,0,6,6,6,7,85.71,0,0,0,1,0
DAJ Bracewell,2021-2021,2,1,0,5,5,5,7,71.42,0,0,0,0,0
BM Tickner,2021-2021,2,2,1,5,3*,5,12,41.66,0,0,0,0,0
JA Duffy,2021-2021,3,1,0,3,3,3,5,60,0,0,0,0,0
IS Sodhi,2017-2023,9,1,0,2,2,2,5,40,0,0,0,0,0
BV Sears,2021-2023,5,1,1,1,1*,-,1,100,0,0,0,0,0
HK Bennett,2021-2021,4,1,1,0,0*,-,0,-,0,0,0,0,0
MG Bracewell,2022-2022,2,1,1,0,0*,-,1,0,0,0,0,0,0
L Ronchi,2017-2017,2,1,0,0,0,0,1,0,0,0,1,0,0
BM Wheeler,2017-2017,3,1,1,0,0*,-,0,-,0,0,0,0,0
