Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
C Munro,2017-2020,11,11,1,419,109*,41.9,280,149.64,1,3,0,32,23
KS Williamson,2017-2022,11,11,1,383,95,38.3,280,136.78,0,3,0,28,16
MJ Guptill,2017-2021,12,12,0,322,70,26.83,236,136.44,0,2,0,27,19
TL Seifert,2019-2021,11,11,2,322,84,35.77,223,144.39,0,3,0,25,18
LRPL Taylor,2019-2020,8,8,2,245,54*,40.83,183,133.87,0,2,0,15,9
DJ Mitchell,2019-2023,14,14,2,241,59*,20.08,180,133.88,0,1,1,20,11
DP Conway,2021-2023,6,6,1,150,59,30,126,119.04,0,2,0,16,3
GD Phillips,2017-2023,11,9,0,135,54,15,115,117.39,0,1,2,10,7
MJ Santner,2017-2023,20,17,8,119,27*,13.22,120,99.16,0,0,0,7,2
MS Chapman,2021-2023,7,7,0,110,63,15.71,108,101.85,0,1,3,11,2
C de Grandhomme,2017-2020,9,8,1,108,50,15.42,78,138.46,0,1,2,4,7
FH Allen,2022-2023,5,5,0,52,35,10.4,43,120.93,0,0,1,6,2
TWM Latham,2017-2017,1,1,0,39,39,39,36,108.33,0,0,0,3,1
IS Sodhi,2017-2023,19,8,3,38,16*,7.6,38,100,0,0,2,4,2
TC Bruce,2017-2020,5,5,1,32,18*,8,30,106.66,0,0,2,4,0
MG Bracewell,2023-2023,3,3,0,23,14,7.66,32,71.87,0,0,0,0,1
TG Southee,2017-2022,15,6,1,23,8,4.6,19,121.05,0,0,1,4,0
SC Kuggeleijn,2019-2020,6,4,3,22,20*,22,10,220,0,0,1,3,1
LH Ferguson,2019-2023,9,5,2,20,14,6.66,18,111.11,0,0,2,0,2
AF Milne,2017-2022,6,4,1,18,7,6,16,112.5,0,0,1,0,2
HM Nicholls,2017-2017,3,2,0,8,6,4,11,72.72,0,0,0,1,0
R Ravindra,2021-2021,1,1,0,7,7,7,8,87.5,0,0,0,1,0
JA Duffy,2023-2023,2,1,1,6,6*,-,3,200,0,0,0,1,0
JDS Neesham,2021-2022,5,4,0,6,3,1.5,25,24,0,0,2,0,0
TA Boult,2017-2021,7,1,1,2,2*,-,2,100,0,0,0,0,0
HK Bennett,2020-2020,5,1,1,1,1*,-,2,50,0,0,0,0,0
BM Tickner,2019-2023,6,1,0,1,1,1,5,20,0,0,0,0,0
BG Lister,2023-2023,1,1,1,0,0*,-,1,0,0,0,0,0,0
TD Astle,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
