Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
MS Chapman,2018-2024,20,18,6,541,104*,45.08,337,160.53,1,3,0,55,21
KS Williamson,2018-2024,14,14,3,428,60,38.9,351,121.93,0,4,1,39,8
FH Allen,2022-2024,9,9,0,366,137,40.66,200,183,1,2,0,28,31
TL Seifert,2018-2024,14,14,2,330,84*,27.5,256,128.9,0,3,3,30,13
GD Phillips,2018-2024,18,16,1,318,70*,21.2,280,113.57,0,1,0,25,8
DJ Mitchell,2021-2024,11,11,2,309,72*,34.33,203,152.21,0,3,0,22,11
DP Conway,2020-2024,11,10,1,242,63,26.88,215,112.55,0,1,1,27,3
JDS Neesham,2020-2024,17,14,5,161,45*,17.88,115,140,0,0,0,15,6
C Munro,2018-2018,5,5,1,154,58,38.5,120,128.33,0,1,0,13,7
MJ Guptill,2018-2021,7,7,0,150,59,21.42,133,112.78,0,1,0,10,8
TWM Latham,2023-2023,5,5,0,116,64,23.2,102,113.72,0,1,1,13,2
MJ Santner,2018-2024,11,7,2,112,37,22.4,72,155.55,0,0,0,12,4
CJ Bowes,2023-2023,5,5,0,107,54,21.4,89,120.22,0,1,0,15,1
LRPL Taylor,2018-2018,5,5,2,99,42*,33,65,152.3,0,0,0,6,3
TB Robinson,2024-2024,4,4,0,83,51,20.75,61,136.06,0,1,1,10,2
D Foxcroft,2024-2024,4,3,0,78,34,26,69,113.04,0,0,0,2,5
TC Bruce,2018-2018,3,3,0,59,26,19.66,45,131.11,0,0,0,6,3
MG Bracewell,2022-2024,8,5,1,55,27,13.75,57,96.49,0,0,1,4,1
IS Sodhi,2018-2024,27,13,4,55,15,6.11,60,91.66,0,0,2,3,1
WA Young,2023-2024,7,7,0,54,17,7.71,65,83.07,0,0,0,7,1
CJ Anderson,2018-2018,2,2,1,53,44*,53,37,143.24,0,0,0,4,2
JA Clarkson,2024-2024,3,2,1,38,38*,38,27,140.74,0,0,1,3,2
TA Blundell,2018-2024,3,3,1,35,28,17.5,24,145.83,0,0,0,6,0
BM Wheeler,2018-2018,1,1,0,30,30,30,20,150,0,0,0,2,2
CE McConchie,2023-2024,5,3,0,28,15,9.33,29,96.55,0,0,0,3,0
C de Grandhomme,2018-2018,6,5,0,27,10,5.4,27,100,0,0,0,2,1
TG Southee,2018-2024,17,9,7,27,6*,13.5,24,112.5,0,0,2,1,1
R Ravindra,2023-2024,6,5,1,24,8*,6,31,77.41,0,0,0,1,0
AK Kitchen,2018-2018,2,1,0,16,16,16,19,84.21,0,0,0,2,0
SC Kuggeleijn,2020-2020,3,1,0,14,14,14,6,233.33,0,0,0,1,1
AF Milne,2018-2024,9,4,1,13,10,4.33,17,76.47,0,0,1,0,1
BV Sears,2024-2024,6,3,1,11,7,5.5,12,91.66,0,0,0,1,0
JA Duffy,2020-2024,5,1,1,8,8*,-,10,80,0,0,0,1,0
TA Boult,2018-2022,8,2,2,2,2*,-,2,100,0,0,0,0,0
MJ Henry,2023-2024,8,4,2,2,1*,1,5,40,0,0,1,0,0
SHA Rance,2018-2018,3,2,0,2,1,1,4,50,0,0,0,0,0
LH Ferguson,2018-2024,5,2,0,1,1,0.5,4,25,0,0,1,0,0
BG Lister,2023-2024,5,2,0,1,1,0.5,5,20,0,0,1,0,0
HB Shipley,2023-2023,3,1,1,1,1*,-,1,100,0,0,0,0,0
ZGF Foulkes,2024-2024,2,1,0,0,0,0,1,0,0,0,1,0,0
KA Jamieson,2020-2020,2,1,1,0,0*,-,0,-,0,0,0,0,0
W O'Rourke,2024-2024,3,1,0,0,0,0,0,-,0,0,1,0,0
