Player,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike rate,100s,50s,0's,4's,6's
TC Bruce,1,1,0,33,33,33,27,122.22,0,0,0,3,2
TG Southee,1,1,0,20,20,20,6,333.33,0,0,0,0,3
C de Grandhomme,1,1,0,15,15,15,7,214.28,0,0,0,0,2
KS Williamson,1,1,0,13,13,13,13,100,0,0,0,2,0
CJ Anderson,1,1,0,6,6,6,10,60,0,0,0,0,0
BM Wheeler,1,1,0,6,6,6,6,100,0,0,0,1,0
GD Phillips,1,1,0,5,5,5,11,45.45,0,0,0,0,0
MJ Santner,1,1,0,5,5,5,6,83.33,0,0,0,1,0
TA Boult,1,1,1,1,1*,-,1,100,0,0,0,0,0
C Munro,1,1,0,0,0,0,1,0,0,0,1,0,0
L Ronchi,1,1,0,0,0,0,1,0,0,0,1,0,0
