Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
TL Seifert,2019-2023,7,7,1,207,88,34.5,140,147.85,0,2,1,18,9
DJ Mitchell,2019-2023,7,6,1,135,66,27,113,119.46,0,1,0,5,5
GD Phillips,2022-2022,1,1,0,104,104,104,64,162.5,1,0,0,10,4
C de Grandhomme,2019-2019,3,3,0,103,59,34.33,75,137.33,0,1,1,6,5
LRPL Taylor,2019-2019,3,3,0,81,48,27,67,120.89,0,0,1,5,3
TWM Latham,2023-2023,3,3,1,78,31,39,69,113.04,0,0,0,7,1
MJ Santner,2019-2022,5,5,3,64,16,32,46,139.13,0,0,0,3,3
TC Bruce,2019-2019,1,1,0,53,53,53,46,115.21,0,1,0,3,0
CJ Bowes,2023-2023,3,3,0,50,31,16.66,36,138.88,0,0,0,9,0
MS Chapman,2023-2023,3,2,0,49,33,24.5,35,140,0,0,0,3,3
TG Southee,2019-2022,5,4,4,45,28*,-,32,140.62,0,0,0,1,4
DAJ Bracewell,2019-2019,1,1,0,44,44,44,26,169.23,0,0,0,1,5
SC Kuggeleijn,2019-2019,4,3,1,43,35*,21.5,21,204.76,0,0,1,1,5
C Munro,2019-2019,4,4,0,41,16,10.25,27,151.85,0,0,1,6,2
R Ravindra,2023-2023,3,2,1,28,26,28,14,200,0,0,0,2,2
JDS Neesham,2022-2023,4,3,0,24,19,8,18,133.33,0,0,1,2,1
MJ Guptill,2019-2019,3,2,0,12,11,6,15,80,0,0,0,1,0
IS Sodhi,2019-2023,7,2,1,11,10*,11,5,220,0,0,0,0,1
SHA Rance,2019-2019,3,1,0,8,8,8,17,47.05,0,0,0,0,0
KS Williamson,2022-2022,1,1,0,8,8,8,13,61.53,0,0,0,1,0
HM Nicholls,2019-2019,1,1,0,4,4,4,6,66.66,0,0,0,0,0
TD Astle,2019-2019,1,1,0,3,3,3,5,60,0,0,0,0,0
AF Milne,2023-2023,3,2,1,3,3,3,5,60,0,0,0,0,0
FH Allen,2022-2022,1,1,0,1,1,1,3,33.33,0,0,0,0,0
DP Conway,2022-2022,1,1,0,1,1,1,4,25,0,0,0,0,0
HB Shipley,2023-2023,2,1,1,1,1*,-,1,100,0,0,0,0,0
HD Rutherford,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
