Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
GD Phillips,2017-2024,10,9,1,377,108,47.12,218,172.93,1,2,0,27,26
C Munro,2017-2018,3,3,0,223,104,74.33,113,197.34,1,2,0,20,15
DP Conway,2020-2024,7,6,1,217,65*,43.4,154,140.9,0,1,0,16,11
MJ Guptill,2017-2022,9,8,0,160,63,20,113,141.59,0,1,0,16,6
KS Williamson,2018-2024,6,6,1,112,47,22.4,87,128.73,0,0,0,10,3
JDS Neesham,2020-2024,7,5,3,106,48*,53,65,163.07,0,0,0,9,6
MJ Santner,2017-2024,10,6,5,98,31*,98,56,175,0,0,0,4,8
DJ Mitchell,2020-2024,5,4,0,90,48,22.5,61,147.54,0,0,0,3,5
TL Seifert,2020-2020,3,2,0,35,18,17.5,26,134.61,0,0,0,5,1
TC Bruce,2017-2018,3,3,0,28,23,9.33,25,112,0,0,0,2,1
FH Allen,2024-2024,1,1,0,26,26,26,23,113.04,0,0,0,3,1
AK Kitchen,2017-2018,3,3,1,22,12,11,13,169.23,0,0,0,1,1
LRPL Taylor,2017-2020,3,3,1,20,20,10,17,117.64,0,0,1,1,1
R Ravindra,2024-2024,1,1,0,10,10,10,13,76.92,0,0,0,0,0
TG Southee,2017-2024,9,2,1,10,10*,10,6,166.66,0,0,1,2,0
TA Boult,2018-2024,4,1,0,7,7,7,4,175,0,0,0,0,1
MG Bracewell,2022-2022,2,2,2,7,4*,-,5,140,0,0,0,1,0
IS Sodhi,2017-2022,8,1,1,6,6*,-,2,300,0,0,0,1,0
DAJ Bracewell,2017-2018,3,1,0,0,0,0,1,0,0,0,1,0,0
LH Ferguson,2020-2024,6,1,1,0,0*,-,0,-,0,0,0,0,0
