Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
TA Boult,2021-2024,2,2,8,0,39,5,Mar-17,7.8,4.87,9.6,0,0
MJ Henry,2024-2024,1,1,4,0,37,2,Feb-37,18.5,9.25,12,0,0
TG Southee,2021-2021,1,1,4,0,24,2,Feb-24,12,6,12,0,0
LH Ferguson,2024-2024,1,1,4,0,28,1,Jan-28,28,7,24,0,0
AF Milne,2021-2021,1,1,4,0,17,1,Jan-17,17,4.25,24,0,0
JDS Neesham,2021-2021,1,1,4,0,24,1,Jan-24,24,6,24,0,0
IS Sodhi,2021-2021,1,1,2,0,13,1,Jan-13,13,6.5,12,0,0
MG Bracewell,2024-2024,1,1,3,0,27,0,-,-,9,-,0,0
DJ Mitchell,2021-2024,2,1,1,0,16,0,-,-,16,-,0,0
MJ Santner,2021-2024,2,2,6,0,51,0,-,-,8.5,-,0,0
