Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
TG Southee,2021-2023,8,7,26,0,181,13,Mar-15,13.92,6.96,12,0,0
IS Sodhi,2017-2023,9,8,29,0,220,11,Apr-28,20,7.58,15.8,1,0
AY Patel,2021-2021,5,5,20,0,73,10,Apr-16,7.3,3.65,12,1,0
AF Milne,2021-2023,7,6,18,0,155,9,Mar-24,17.22,8.61,12,0,0
MJ Santner,2017-2023,6,5,19,0,103,8,Apr-16,12.87,5.42,14.2,1,0
CE McConchie,2021-2021,5,5,18.1,0,117,7,Mar-15,16.71,6.44,15.5,0,0
LH Ferguson,2017-2021,3,3,10,0,70,6,Mar-32,11.66,7,10,0,0
R Ravindra,2021-2021,5,5,19,0,83,6,Mar-22,13.83,4.36,19,0,0
TA Boult,2017-2022,4,4,15,0,123,5,Feb-25,24.6,8.2,18,0,0
TD Astle,2021-2021,1,1,2,0,13,4,Apr-13,3.25,6.5,3,1,0
HK Bennett,2021-2021,4,4,14,0,100,4,Feb-31,25,7.14,21,0,0
MG Bracewell,2022-2022,2,2,8,0,53,4,Feb-14,13.25,6.62,12,0,0
BV Sears,2021-2023,5,4,12,0,96,4,Feb-28,24,8,18,0,0
BM Wheeler,2017-2017,3,3,10.1,0,67,4,Feb-16,16.75,6.59,15.2,0,0
SC Kuggeleijn,2021-2021,2,2,6,0,37,3,Feb-23,12.33,6.16,12,0,0
KS Williamson,2017-2022,4,2,6,0,25,3,Feb-16,8.33,4.16,12,0,0
C de Grandhomme,2017-2021,8,5,10.4,0,76,2,01-Mar,38,7.12,32,0,0
GD Phillips,2021-2023,8,4,6.3,0,44,2,01-Nov,22,6.76,19.5,0,0
JA Duffy,2021-2021,3,3,9,0,42,1,Jan-25,42,4.66,54,0,0
MJ Henry,2017-2017,1,1,4,0,44,1,Jan-44,44,11,24,0,0
JDS Neesham,2017-2023,7,3,3,0,36,1,01-Jul,36,12,18,0,0
DAJ Bracewell,2021-2021,2,2,4,0,33,0,-,-,8.25,-,0,0
MS Chapman,2021-2023,8,1,1,0,9,0,-,-,9,-,0,0
DJ Mitchell,2021-2023,6,1,2,0,21,0,-,-,10.5,-,0,0
BM Tickner,2021-2021,2,2,3,0,22,0,-,-,7.33,-,0,0
