Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
IS Sodhi,2017-2023,19,19,65,0,502,22,Mar-26,22.81,7.72,17.7,0,0
TG Southee,2017-2022,15,15,56.3,0,485,18,Mar-16,26.94,8.58,18.8,0,0
MJ Santner,2017-2023,20,20,71,1,511,14,Mar-27,36.5,7.19,30.4,0,0
TA Boult,2017-2021,7,7,26,0,214,12,Apr-34,17.83,8.23,13,1,0
LH Ferguson,2019-2023,9,9,30,1,273,8,Feb-22,34.12,9.1,22.5,0,0
HK Bennett,2020-2020,5,5,19,0,181,6,Mar-54,30.16,9.52,19,0,0
DJ Mitchell,2019-2023,14,5,8,0,72,6,Feb-27,12,9,8,0,0
MG Bracewell,2023-2023,3,3,9,0,52,4,Feb-31,13,5.77,13.5,0,0
SC Kuggeleijn,2019-2020,6,6,19.5,0,177,4,Feb-25,44.25,8.92,29.7,0,0
AF Milne,2017-2022,6,6,21,0,204,3,Jan-23,68,9.71,42,0,0
BM Tickner,2019-2023,6,6,15.5,0,182,3,Jan-34,60.66,11.49,31.6,0,0
C de Grandhomme,2017-2020,9,3,6,0,57,1,Jan-13,57,9.5,36,0,0
JA Duffy,2023-2023,2,2,4,0,35,1,Jan-27,35,8.75,24,0,0
C Munro,2017-2020,11,2,4,0,37,1,Jan-23,37,9.25,24,0,0
TD Astle,2021-2021,1,1,3,0,34,0,-,-,11.33,-,0,0
MS Chapman,2021-2023,7,1,1,0,4,0,-,-,4,-,0,0
BG Lister,2023-2023,1,1,4,0,42,0,-,-,10.5,-,0,0
JDS Neesham,2021-2022,5,2,1.2,0,21,0,-,-,15.75,-,0,0
GD Phillips,2017-2023,11,1,4,0,17,0,-,-,4.25,-,0,0
