Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
TG Southee,2018-2024,17,17,66.4,1,461,25,Apr-21,18.44,6.91,16,2,0
IS Sodhi,2018-2024,27,25,87.2,0,705,22,Feb-22,32.04,8.07,23.8,0,0
AF Milne,2018-2024,9,8,30.4,0,304,15,Apr-33,20.26,9.91,12.2,1,0
MJ Henry,2023-2024,8,7,27,0,220,11,Mar-32,20,8.14,14.7,0,0
JDS Neesham,2020-2024,17,10,29,0,267,9,Mar-38,29.66,9.2,19.3,0,0
MJ Santner,2018-2024,11,11,42,0,299,9,Feb-15,33.22,7.11,28,0,0
MG Bracewell,2022-2024,8,7,22,0,149,7,02-Nov,21.28,6.77,18.8,0,0
BV Sears,2024-2024,6,5,19,0,173,7,Feb-27,24.71,9.1,16.2,0,0
BM Tickner,2020-2023,5,5,18.3,0,170,7,Mar-33,24.28,9.18,15.8,0,0
LH Ferguson,2018-2024,5,5,20,0,145,6,Feb-25,24.16,7.25,20,0,0
TA Boult,2018-2022,8,8,31.4,1,258,5,Feb-33,51.6,8.14,38,0,0
C de Grandhomme,2018-2018,6,6,19,0,151,5,Feb-41,30.2,7.94,22.8,0,0
JA Duffy,2020-2024,5,4,14,0,121,5,Apr-33,24.2,8.64,16.8,1,0
SC Kuggeleijn,2020-2020,3,3,11,0,100,5,Mar-27,20,9.09,13.2,0,0
W O'Rourke,2024-2024,3,3,12,0,85,4,Mar-27,21.25,7.08,18,0,0
SHA Rance,2018-2018,3,3,12,0,95,4,Mar-26,23.75,7.91,18,0,0
BG Lister,2023-2024,5,4,11.5,0,92,3,Feb-30,30.66,7.77,23.6,0,0
R Ravindra,2023-2024,6,4,10,0,88,3,Feb-28,29.33,8.8,20,0,0
C Munro,2018-2018,5,4,6.4,0,68,2,01-Dec,34,10.2,20,0,0
BM Wheeler,2018-2018,1,1,4,0,36,2,Feb-36,18,9,12,0,0
ZGF Foulkes,2024-2024,2,2,8,0,74,1,Jan-35,74,9.25,48,0,0
KA Jamieson,2020-2020,2,2,6.4,0,65,1,Jan-22,65,9.75,40,0,0
AK Kitchen,2018-2018,2,1,1,0,3,1,01-Mar,3,3,6,0,0
AY Patel,2018-2018,2,2,6,0,45,1,Jan-27,45,7.5,36,0,0
CE McConchie,2023-2024,5,2,1.1,0,13,0,-,-,11.14,-,0,0
GD Phillips,2018-2024,18,1,1,0,11,0,-,-,11,-,0,0
HB Shipley,2023-2023,3,2,6,0,73,0,-,-,12.16,-,0,0
