Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
AF Milne,2023-2023,3,3,12,1,98,7,May-26,14,8.16,10.2,0,1
MJ Santner,2019-2022,5,5,19,1,116,7,03-Dec,16.57,6.1,16.2,0,0
IS Sodhi,2019-2023,7,7,25.1,0,188,7,Mar-30,26.85,7.47,21.5,0,0
TG Southee,2019-2022,5,5,18,1,87,6,Feb-18,14.5,4.83,18,0,0
BG Lister,2023-2023,3,3,12,0,106,5,Feb-26,21.2,8.83,14.4,0,0
TA Boult,2022-2022,1,1,4,0,13,4,Apr-13,3.25,3.25,6,1,0
LH Ferguson,2019-2022,2,2,7,0,56,4,Mar-21,14,8,10.5,0,0
SC Kuggeleijn,2019-2019,4,4,13,0,102,4,Feb-38,25.5,7.84,19.5,0,0
TD Astle,2019-2019,1,1,4,0,28,3,Mar-28,9.33,7,8,0,0
JDS Neesham,2022-2023,4,3,8,0,72,3,Feb-30,24,9,16,0,0
SHA Rance,2019-2019,3,3,11,0,120,3,Mar-33,40,10.9,22,0,0
HB Shipley,2023-2023,2,2,7,0,68,2,Jan-25,34,9.71,21,0,0
DAJ Bracewell,2019-2019,1,1,2,0,19,1,Jan-19,19,9.5,12,0,0
R Ravindra,2023-2023,3,2,5,0,51,1,Jan-24,51,10.2,30,0,0
C de Grandhomme,2019-2019,3,2,4,0,41,0,-,-,10.25,-,0,0
MJ Henry,2023-2023,1,1,4,0,33,0,-,-,8.25,-,0,0
