Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
TG Southee,2017-2024,9,8,29.3,0,266,14,Mar-21,19,9.01,12.6,0,0
LH Ferguson,2020-2024,6,6,21,0,132,10,May-21,13.2,6.28,12.6,0,1
MJ Santner,2017-2024,10,9,26,0,204,10,Mar-15,20.4,7.84,15.6,0,0
IS Sodhi,2017-2022,8,6,24,0,187,7,Feb-25,26.71,7.79,20.5,0,0
TA Boult,2018-2024,4,4,16,1,102,6,Mar-16,17,6.37,16,0,0
MG Bracewell,2022-2022,2,2,6,1,29,3,Mar-15,9.66,4.83,12,0,0
SHA Rance,2017-2018,2,1,4,0,30,3,Mar-30,10,7.5,8,0,0
DAJ Bracewell,2017-2018,3,1,2,0,10,2,02-Oct,5,5,6,0,0
KA Jamieson,2020-2020,2,2,7,0,41,2,Feb-15,20.5,5.85,21,0,0
JDS Neesham,2020-2024,7,4,7.3,0,82,2,01-Dec,41,10.93,22.5,0,0
AK Kitchen,2017-2018,3,2,5,0,43,1,Jan-33,43,8.6,30,0,0
HK Bennett,2020-2020,2,2,2.5,0,50,0,-,-,17.64,-,0,0
DJ Mitchell,2020-2024,5,1,1,0,19,0,-,-,19,-,0,0
GD Phillips,2017-2024,10,1,1,0,9,0,-,-,9,-,0,0
