web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
1721719232-1,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Mohammad Rizwan,2019-2024,89,79,19,3178,104*,52.96,2486,127.83,1,29,4,266,91
1721719232-2,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Babar Azam,2019-2024,93,86,8,2898,122,37.15,2244,129.14,3,26,6,316,54
1721719232-3,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Fakhar Zaman,2019-2024,62,55,3,1100,78,21.15,850,129.41,0,7,6,87,54
1721719232-4,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Iftikhar Ahmed,2019-2024,65,54,13,998,62*,24.34,773,129.1,0,4,2,66,44
1721719232-5,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Mohammad Hafeez,2020-2021,30,22,5,606,99*,35.64,417,145.32,0,4,1,55,25
1721719232-6,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Shadab Khan,2019-2024,72,41,9,564,52,17.62,406,138.91,0,1,5,39,28
1721719232-7,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Haider Ali,2020-2023,35,32,3,505,68,17.41,405,124.69,0,3,3,43,22
1721719232-8,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Mohammad Nawaz (3),2021-2024,44,36,12,464,45*,19.33,335,138.5,0,0,4,37,24
1721719232-9,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Shan Masood,2022-2022,19,17,4,395,65*,30.38,324,121.91,0,3,2,30,7
1721719232-10,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Imad Wasim,2019-2024,40,27,6,367,64*,17.47,303,121.12,0,1,1,37,5
1721719232-11,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Khushdil Shah,2019-2023,27,25,7,344,36*,19.11,315,109.2,0,0,0,24,15
1721719232-12,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Saim Ayub,2023-2024,23,21,0,309,49,14.71,253,122.13,0,0,3,34,15
1721719232-13,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Asif Ali,2019-2023,38,32,7,297,29,11.88,227,130.83,0,0,3,15,19
1721719232-14,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Faheem Ashraf,2019-2023,22,16,2,186,31,13.28,139,133.81,0,0,0,13,10
1721719232-15,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Shoaib Malik,2020-2021,13,7,3,172,58*,43,114,150.87,0,2,1,10,8
1721719232-16,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=batting,Shaheen Shah Afridi,2020-2024,60,19,8,146,23*,13.27,113,129.2,0,0,3,7,11
