Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Shadab Khan,2021-2023,5,5,1,108,36,27,87,124.13,0,0,0,9,3
Imad Wasim,2021-2023,4,3,1,95,64*,47.5,96,98.95,0,1,0,5,2
Saim Ayub,2023-2023,3,3,0,66,49,22,57,115.78,0,0,1,6,3
Iftikhar Ahmed,2022-2023,2,2,0,61,31,30.5,58,105.17,0,0,0,2,2
Babar Azam,2021-2022,2,2,0,51,51,25.5,48,106.25,0,1,1,4,0
Asif Ali,2021-2023,3,3,1,49,25*,24.5,19,257.89,0,0,0,0,7
Tayyab Tahir,2023-2023,3,3,0,39,16,13,41,95.12,0,0,0,5,0
Fakhar Zaman,2021-2022,2,2,0,35,30,17.5,34,102.94,0,0,0,3,1
Mohammad Rizwan,2021-2022,2,2,0,28,20,14,36,77.77,0,0,0,2,1
Omair Yousuf,2023-2023,1,1,0,24,24,24,19,126.31,0,0,0,2,1
Abdullah Shafique,2023-2023,3,3,0,23,23,7.66,16,143.75,0,0,2,1,2
Mohammad Haris,2023-2023,3,3,0,22,15,7.33,23,95.65,0,0,0,3,1
Shoaib Malik,2021-2021,1,1,0,19,19,19,15,126.66,0,0,0,1,1
Naseem Shah,2022-2023,3,2,1,16,14*,16,11,145.45,0,0,0,0,2
Aamer Jamal,2023-2023,1,1,0,14,14,14,11,127.27,0,0,0,1,1
Arafat Minhas,2023-2023,1,1,0,13,13,13,14,92.85,0,0,0,1,0
Mohammad Hafeez,2021-2021,1,1,0,10,10,10,10,100,0,0,0,1,0
Rohail Nazir,2023-2023,1,1,0,10,10,10,15,66.66,0,0,0,0,1
Khushdil Shah,2022-2023,2,2,0,9,8,4.5,13,69.23,0,0,0,1,0
Mohammad Nawaz (3),2022-2023,3,2,1,9,5*,9,8,112.5,0,0,0,1,0
Mohammad Wasim (1),2023-2023,1,1,1,9,9*,-,4,225,0,0,0,0,1
Qasim Akram,2023-2023,1,1,0,9,9,9,14,64.28,0,0,0,1,0
Zaman Khan,2023-2023,3,1,1,8,8*,-,8,100,0,0,0,0,1
Ihsanullah,2023-2023,3,1,1,6,6*,-,8,75,0,0,0,1,0
Usman Qadir,2023-2023,1,1,1,5,5*,-,3,166.66,0,0,0,1,0
Mirza Baig,2023-2023,1,1,0,4,4,4,9,44.44,0,0,0,1,0
Faheem Ashraf,2023-2023,1,1,0,2,2,2,8,25,0,0,0,0,0
Haider Ali,2023-2023,1,1,0,2,2,2,6,33.33,0,0,0,0,0
Azam Khan,2023-2023,2,2,0,1,1,0.5,6,16.66,0,0,1,0,0
Sufiyan Muqeem,2023-2023,1,1,0,1,1,1,3,33.33,0,0,0,0,0
Haris Rauf,2021-2022,2,1,0,0,0,0,1,0,0,0,1,0,0
Mohammad Hasnain,2022-2022,1,1,1,0,0*,-,0,-,0,0,0,0,0
