Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Babar Azam,2018-2022,8,8,2,383,68*,63.83,302,126.82,0,5,0,36,6
Fakhar Zaman,2018-2022,9,9,1,252,91,31.5,164,153.65,0,3,2,28,10
Mohammad Rizwan,2019-2022,5,5,0,135,67,27,121,111.57,0,1,1,6,6
Iftikhar Ahmed,2019-2022,4,4,2,121,62*,60.5,85,142.35,0,1,0,12,3
Shoaib Malik,2018-2021,6,6,1,116,43*,23.2,94,123.4,0,0,0,10,2
Mohammad Hafeez,2018-2021,5,5,2,112,40,37.33,88,127.27,0,0,1,8,5
Asif Ali,2018-2022,10,10,2,109,37*,13.62,84,129.76,0,0,1,5,7
Hussain Talat,2018-2018,4,4,0,49,30,12.25,44,111.36,0,0,1,6,1
Sarfaraz Ahmed,2018-2018,6,4,0,46,28,11.5,39,117.94,0,0,1,5,2
Sahibzada Farhan,2018-2018,2,2,0,39,39,19.5,38,102.63,0,0,1,2,3
Faheem Ashraf,2018-2018,6,5,1,38,21,9.5,32,118.75,0,0,3,3,2
Shadab Khan,2018-2021,10,4,0,38,29,9.5,38,100,0,0,0,1,2
Khushdil Shah,2019-2022,2,2,0,32,24,16,32,100,0,0,0,3,0
Hasan Ali,2018-2022,7,4,1,27,17*,9,14,192.85,0,0,2,3,2
Imad Wasim,2018-2021,7,6,2,21,11,5.25,24,87.5,0,0,2,1,0
Haris Sohail,2018-2019,4,4,0,18,8,4.5,32,56.25,0,0,1,1,0
Usman Qadir,2022-2022,1,1,1,18,18*,-,6,300,0,0,0,2,1
Imam-ul-Haq,2019-2019,1,1,0,14,14,14,15,93.33,0,0,0,2,0
Mohammad Amir,2018-2019,5,2,2,9,9*,-,9,100,0,0,0,0,1
Mohammad Nawaz (3),2018-2018,1,1,0,6,6,6,11,54.54,0,0,0,0,0
Mohammad Hasnain,2019-2019,1,1,1,4,4*,-,10,40,0,0,0,1,0
Mohammad Wasim (1),2022-2022,1,1,1,2,2*,-,4,50,0,0,0,0,0
Shaheen Shah Afridi,2018-2022,6,1,0,0,0,0,2,0,0,0,1,0,0
Usman Shinwari,2018-2018,3,1,1,0,0*,-,0,-,0,0,0,0,0
Wahab Riaz,2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0
