Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Mohammad Rizwan,2020-2022,8,7,2,274,78*,54.8,242,113.22,0,2,0,20,4
Babar Azam,2020-2022,8,8,1,195,66*,27.85,184,105.97,0,2,1,25,1
Fakhar Zaman,2021-2021,2,2,1,91,57*,91,87,104.59,0,1,0,6,3
Mohammad Hafeez,2020-2020,2,2,1,84,67*,84,65,129.23,0,1,0,12,1
Mohammad Nawaz (3),2021-2022,6,5,4,79,45*,79,45,175.55,0,0,0,7,4
Shoaib Malik,2020-2021,4,2,1,58,58*,58,48,120.83,0,1,1,5,0
Haider Ali,2021-2022,5,5,1,57,45,14.25,57,100,0,0,2,5,2
Shan Masood,2022-2022,3,2,1,55,31,55,36,152.77,0,0,0,6,1
Khushdil Shah,2021-2023,4,3,1,48,34,24,45,106.66,0,0,0,4,2
Ahsan Ali,2020-2020,2,2,0,36,36,18,39,92.3,0,0,1,4,0
Iftikhar Ahmed,2020-2022,6,4,0,36,16,9,26,138.46,0,0,0,4,1
Mirza Baig,2023-2023,1,1,1,32,32*,-,18,177.77,0,0,0,4,2
Mohammad Haris,2022-2022,1,1,0,31,31,31,18,172.22,0,0,0,1,2
Shadab Khan,2020-2022,7,2,2,21,21*,-,10,210,0,0,0,1,2
Asif Ali,2022-2023,3,2,1,6,4,6,6,100,0,0,0,0,0
Imad Wasim,2020-2020,2,1,0,6,6,6,4,150,0,0,0,1,0
Sarfaraz Ahmed,2021-2021,1,1,0,6,6,6,12,50,0,0,0,0,0
Omair Yousuf,2023-2023,1,1,1,1,1*,-,2,50,0,0,0,0,0
