Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike rate,100s,50s,0's,4's,6's
Mohammad Rizwan,2021-2024,5,5,1,228,79*,57,204,111.76,0,2,0,18,7
Babar Azam,2021-2024,5,5,1,105,68*,26.25,82,128.04,0,1,1,12,2
Iftikhar Ahmed,2022-2024,4,4,1,86,51,28.66,66,130.3,0,1,0,4,5
Mohammad Nawaz (3),2022-2022,3,3,0,52,42,17.33,29,179.31,0,0,0,8,2
Shan Masood,2022-2022,1,1,1,52,52*,-,42,123.8,0,1,0,5,0
Fakhar Zaman,2021-2024,4,3,0,38,15,12.66,32,118.75,0,0,0,5,1
Asif Ali,2021-2022,4,3,0,27,16,9,18,150,0,0,0,2,1
Haris Rauf,2021-2024,5,2,2,19,13*,-,11,172.72,0,0,0,2,1
Shadab Khan,2021-2024,5,3,0,19,10,6.33,22,86.36,0,0,0,2,0
Khushdil Shah,2022-2022,2,2,1,16,14*,16,18,88.88,0,0,0,1,0
Shaheen Shah Afridi,2021-2024,3,2,1,16,16,16,9,177.77,0,0,0,1,1
Shahnawaz Dahani,2022-2022,1,1,0,16,16,16,6,266.66,0,0,0,0,2
Imad Wasim,2021-2024,2,1,0,15,15,15,23,65.21,0,0,0,1,0
Usman Khan,2024-2024,1,1,0,13,13,13,15,86.66,0,0,0,1,0
Naseem Shah,2022-2024,4,2,1,10,10*,10,5,200,0,0,1,2,0
Haider Ali,2022-2022,1,1,0,2,2,2,4,50,0,0,0,0,0
