Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike rate,100s,50s,0's,4's,6's
Babar Azam,2018-2024,26,24,3,880,101*,41.9,667,131.93,1,8,0,98,16
Mohammad Rizwan,2020-2024,21,19,4,685,98*,45.66,542,126.38,0,5,0,66,16
Fakhar Zaman,2018-2024,17,16,0,439,61,27.43,327,134.25,0,3,1,33,24
Mohammad Hafeez,2018-2021,7,7,3,283,99*,70.75,184,153.8,0,2,1,22,15
Iftikhar Ahmed,2020-2024,20,16,5,270,60,24.54,196,137.75,0,1,1,14,16
Shadab Khan,2018-2024,24,11,1,172,42,17.2,125,137.6,0,0,2,13,8
Saim Ayub,2023-2024,14,12,0,153,47,12.75,117,130.76,0,0,2,19,7
Imad Wasim,2018-2024,13,10,4,132,31,22,87,151.72,0,0,0,17,2
Asif Ali,2018-2022,7,6,3,117,38,39,92,127.17,0,0,0,6,6
Sarfaraz Ahmed,2018-2018,6,5,1,113,41,28.25,85,132.94,0,0,0,9,4
Faheem Ashraf,2018-2023,14,10,2,112,31,14,84,133.33,0,0,1,7,7
Mohammad Nawaz (3),2018-2024,8,7,2,111,38*,22.2,79,140.5,0,0,1,7,8
Haider Ali,2020-2022,6,6,1,71,31,14.2,46,154.34,0,0,0,5,4
Ahmed Shehzad,2018-2018,2,2,0,63,44,31.5,52,121.15,0,0,0,9,1
Shoaib Malik,2018-2021,4,4,1,63,26*,21,43,146.51,0,0,0,6,2
Usman Khan,2024-2024,5,4,0,59,31,14.75,48,122.91,0,0,0,7,1
Shaheen Shah Afridi,2018-2024,21,7,2,56,22,11.2,45,124.44,0,0,1,3,4
Irfan Khan,2024-2024,3,2,2,48,30*,-,38,126.31,0,0,0,4,2
Khushdil Shah,2020-2020,3,3,0,43,16,14.33,50,86,0,0,0,5,0
Shan Masood,2022-2022,4,4,1,36,19,12,39,92.3,0,0,1,4,0
Mohammad Haris,2022-2023,2,2,0,30,30,15,27,111.11,0,0,1,2,1
Haris Sohail,2018-2018,3,2,1,29,20*,29,22,131.81,0,0,0,4,0
Hasan Ali,2018-2021,5,2,1,29,23,29,16,181.25,0,0,0,1,3
Abbas Afridi,2024-2024,6,4,1,24,15*,8,15,160,0,0,0,0,3
Aamer Jamal,2024-2024,2,2,1,23,14*,23,15,153.33,0,0,0,1,2
Azam Khan,2024-2024,3,3,0,22,10,7.33,19,115.78,0,0,0,1,1
Sahibzada Farhan,2018-2024,3,3,0,21,19,7,24,87.5,0,0,0,1,1
Umar Amin,2018-2018,3,2,0,21,21,10.5,14,150,0,0,1,0,3
Aamer Yamin,2018-2018,1,1,1,15,15*,-,6,250,0,0,0,1,1
Haris Rauf,2020-2024,16,5,2,13,11,4.33,13,100,0,0,2,1,1
Wahab Riaz,2020-2020,2,1,0,9,9,9,5,180,0,0,0,0,1
Usama Mir,2024-2024,5,4,1,7,5,2.33,7,100,0,0,1,1,0
Mohammad Amir,2018-2024,7,2,1,4,3,4,7,57.14,0,0,0,0,0
Mohammad Wasim (1),2022-2024,6,2,2,2,1*,-,5,40,0,0,0,0,0
Abdullah Shafique,2020-2020,2,2,0,0,0,0,4,0,0,0,2,0,0
Haseebullah Khan,2024-2024,1,1,0,0,0,0,3,0,0,0,1,0,0
Hussain Talat,2020-2020,1,1,1,0,0*,-,0,-,0,0,0,0,0
Naseem Shah,2022-2024,7,1,1,0,0*,-,3,0,0,0,0,0,0
Rumman Raees,2018-2018,3,1,1,0,0*,-,0,-,0,0,0,0,0
Zaman Khan,2023-2024,7,1,1,0,0*,-,1,0,0,0,0,0,0
