Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Babar Azam,2017-2022,8,8,1,114,34*,16.28,128,89.06,0,0,0,7,0
Shoaib Malik,2017-2017,3,3,1,102,51,51,75,136,0,1,0,9,2
Sarfaraz Ahmed,2017-2019,6,4,0,95,28,23.75,88,107.95,0,0,0,6,1
Iftikhar Ahmed,2019-2022,4,4,1,87,32,29,80,108.75,0,0,0,5,3
Mohammad Rizwan,2022-2022,2,2,0,69,55,34.5,63,109.52,0,1,0,4,1
Fakhar Zaman,2017-2022,7,7,0,67,31,9.57,71,94.36,0,0,2,6,0
Ahmed Shehzad,2017-2019,4,4,0,66,27,16.5,81,81.48,0,0,0,3,1
Imad Wasim,2017-2019,6,4,0,59,47,14.75,42,140.47,0,0,0,9,0
Haris Sohail,2019-2019,1,1,0,52,52,52,50,104,0,1,0,4,1
Umar Amin,2017-2017,1,1,0,45,45,45,37,121.62,0,0,0,3,1
Mohammad Hafeez,2017-2017,3,2,1,39,25*,39,42,92.85,0,0,0,3,0
Asif Ali,2019-2022,5,5,0,36,29,7.2,41,87.8,0,0,2,3,0
Mohammad Nawaz (3),2022-2022,2,2,0,32,26,16,27,118.51,0,0,0,1,2
Shadab Khan,2017-2022,7,4,1,30,16*,10,22,136.36,0,0,1,3,1
Faheem Ashraf,2017-2019,4,3,1,25,13*,12.5,17,147.05,0,0,0,1,2
Wahab Riaz,2019-2019,2,2,1,19,12*,19,11,172.72,0,0,0,1,1
Haris Rauf,2022-2022,2,2,0,14,13,7,11,127.27,0,0,0,1,1
Mohammad Hasnain,2019-2022,4,4,3,9,8*,9,7,128.57,0,0,0,0,1
Khushdil Shah,2022-2022,2,2,0,6,4,3,12,50,0,0,0,0,0
Mohammad Amir,2017-2019,4,2,1,6,5*,6,5,120,0,0,0,1,0
Naseem Shah,2022-2022,1,1,0,4,4,4,2,200,0,0,0,1,0
Hasan Ali,2017-2022,4,2,1,3,3*,3,3,100,0,0,1,0,0
Usman Qadir,2022-2022,1,1,0,3,3,3,6,50,0,0,0,0,0
Umar Akmal,2019-2019,2,2,0,0,0,0,2,0,0,0,2,0,0
