Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
Babar Azam,2017-2021,14,11,1,439,97*,43.9,345,127.24,0,4,1,47,7
Mohammad Rizwan,2021-2021,7,4,0,249,87,62.25,163,152.76,0,2,0,26,6
Fakhar Zaman,2017-2021,13,9,0,158,40,17.55,110,143.63,0,0,0,19,4
Hussain Talat,2018-2018,3,3,1,135,63,67.5,106,127.35,0,1,0,13,2
Shoaib Malik,2017-2018,7,6,4,131,38*,65.5,85,154.11,0,0,0,13,5
Haider Ali,2021-2021,3,2,0,99,68,49.5,73,135.61,0,1,0,10,4
Kamran Akmal,2017-2017,4,4,0,90,48,22.5,80,112.5,0,0,1,10,4
Ahmed Shehzad,2017-2017,4,4,0,84,53,21,75,112,0,1,0,10,1
Asif Ali,2018-2021,6,6,2,71,25*,17.75,44,161.36,0,0,0,5,5
Sarfaraz Ahmed,2017-2018,7,5,2,60,38,20,51,117.64,0,0,0,5,1
Shadab Khan,2017-2021,14,5,3,49,28*,24.5,28,175,0,0,0,2,3
Iftikhar Ahmed,2021-2021,3,3,1,40,32,20,25,160,0,0,0,2,2
Mohammad Nawaz (3),2018-2021,6,2,1,31,30*,31,13,238.46,0,0,0,3,2
Wahab Riaz,2017-2017,4,2,0,25,24,12.5,12,208.33,0,0,0,1,2
Sharjeel Khan,2021-2021,4,1,0,20,20,20,16,125,0,0,0,2,1
Faheem Ashraf,2018-2018,3,1,1,16,16*,-,9,177.77,0,0,0,1,1
Mohammad Hafeez,2017-2021,5,2,0,11,6,5.5,18,61.11,0,0,0,0,0
Mohammad Wasim (1),2021-2021,7,2,1,6,5,6,6,100,0,0,0,1,0
Sohail Tanvir,2017-2017,3,2,1,6,4,6,6,100,0,0,0,1,0
Sohaib Maqsood,2021-2021,3,1,0,5,5,5,4,125,0,0,0,1,0
Imad Wasim,2017-2017,4,2,0,4,4,2,6,66.66,0,0,1,1,0
Haris Rauf,2021-2021,4,1,1,0,0*,-,0,-,0,0,0,0,0
Hasan Ali,2017-2021,10,2,1,0,0*,0,2,0,0,0,1,0,0
