web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
"1721719023-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Haris Rauf","2020-2024","72","70","261.4","1","2136","102","4/18","20.94","8.16","15.3","3","0"
"1721719023-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Shaheen Shah Afridi","2020-2024","60","60","217.4","2","1670","82","4/22","20.36","7.67","15.9","2","0"
"1721719023-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Shadab Khan","2019-2024","72","64","228.4","2","1704","63","4/8","27.04","7.45","21.7","2","0"
"1721719023-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Mohammad Nawaz (3)","2021-2024","44","41","133.4","0","1021","38","3/5","26.86","7.63","21.1","0","0"
"1721719023-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Mohammad Wasim (1)","2021-2024","29","29","92.1","0","751","36","4/24","20.86","8.14","15.3","2","0"
"1721719023-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Imad Wasim","2019-2024","40","39","126.0","1","826","34","3/8","24.29","6.55","22.2","0","0"
"1721719023-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Usman Qadir","2020-2023","25","21","72.0","0","573","31","4/13","18.48","7.95","13.9","1","0"
"1721719023-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Hasan Ali","2021-2024","21","20","68.4","2","579","25","4/18","23.16","8.43","16.4","1","0"
"1721719023-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Mohammad Hasnain","2019-2022","26","25","97.0","0","824","25","3/37","32.96","8.49","23.2","0","0"
"1721719023-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=7;template=results;type=bowling","Naseem Shah","2022-2024","28","27","102.1","0","786","24","3/21","32.75","7.69","25.5","0","0"
