Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Mohammad Wasim (1),2021-2022,6,6,21,0,124,10,Mar-24,12.4,5.9,12.6,0,0
Shadab Khan,2020-2022,7,7,27,1,187,8,Feb-22,23.37,6.92,20.2,0,0
Shaheen Shah Afridi,2020-2022,4,4,16,0,82,8,Apr-22,10.25,5.12,12,1,0
Haris Rauf,2020-2022,7,7,27,0,196,6,Jan-13,32.66,7.25,27,0,0
Mohammad Nawaz (3),2021-2022,6,5,16,0,116,5,Feb-25,23.2,7.25,19.2,0,0
Arshad Iqbal,2023-2023,1,1,2,0,14,3,Mar-14,4.66,7,4,0,0
Hasan Ali,2021-2021,1,1,4,0,22,3,Mar-22,7.33,5.5,8,0,0
Mohammad Hasnain,2020-2022,3,3,12,0,94,2,Feb-20,47,7.83,36,0,0
Naseem Shah,2022-2022,2,2,7,0,42,2,Feb-27,21,6,21,0,0
Shahnawaz Dahani,2021-2022,2,2,7,0,48,2,Jan-24,24,6.85,21,0,0
Usman Qadir,2021-2023,2,1,4,0,35,2,Feb-35,17.5,8.75,12,0,0
Iftikhar Ahmed,2020-2022,6,4,9,0,47,1,Jan-15,47,5.22,54,0,0
Sufiyan Muqeem,2023-2023,1,1,2,0,32,1,Jan-32,32,16,12,0,0
Arafat Minhas,2023-2023,1,1,1,0,15,0,-,-,15,-,0,0
Imad Wasim,2020-2020,2,2,5,0,31,0,-,-,6.2,-,0,0
Shoaib Malik,2020-2021,4,3,5,0,31,0,-,-,6.2,-,0,0
