Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Haris Rauf,2021-2024,5,5,19,0,155,7,Mar-21,22.14,8.15,16.2,0,0
Naseem Shah,2022-2024,4,4,16,0,116,7,Mar-21,16.57,7.25,13.7,0,0
Mohammad Nawaz (3),2022-2022,3,3,11.4,0,100,6,Mar-33,16.66,8.57,11.6,0,0
Shaheen Shah Afridi,2021-2024,3,3,12,0,94,4,Mar-31,23.5,7.83,18,0,0
Shadab Khan,2021-2024,5,4,16,0,93,3,Feb-31,31,5.81,32,0,0
Hasan Ali,2021-2021,1,1,4,0,44,2,Feb-44,22,11,12,0,0
Mohammad Amir,2024-2024,1,1,4,0,23,2,Feb-23,11.5,5.75,12,0,0
Mohammad Hasnain,2022-2022,1,1,4,0,38,1,Jan-38,38,9.5,24,0,0
Iftikhar Ahmed,2022-2024,4,1,1,0,7,0,-,-,7,-,0,0
Imad Wasim,2021-2024,2,2,5,0,27,0,-,-,5.4,-,0,0
Mohammad Hafeez,2021-2021,1,1,2,0,12,0,-,-,6,-,0,0
Shahnawaz Dahani,2022-2022,1,1,4,0,29,0,-,-,7.25,-,0,0
