Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Shaheen Shah Afridi,2018-2024,21,21,75.1,1,612,33,Apr-30,18.54,8.14,13.6,1,0
Haris Rauf,2020-2024,16,16,62.3,0,527,32,Apr-18,16.46,8.43,11.7,3,0
Shadab Khan,2018-2024,24,22,76,0,563,17,Mar-30,33.11,7.4,26.8,0,0
Imad Wasim,2018-2024,13,13,40,0,262,14,Mar-19,18.71,6.55,17.1,0,0
Abbas Afridi,2024-2024,6,6,17,0,152,10,Mar-20,15.2,8.94,10.2,0,0
Faheem Ashraf,2018-2023,14,14,34.1,0,268,10,Mar-20,26.8,7.84,20.5,0,0
Mohammad Nawaz (3),2018-2024,8,8,27,0,234,7,Feb-18,33.42,8.66,23.1,0,0
Mohammad Amir,2018-2024,7,6,21.2,0,150,6,Feb-13,25,7.03,21.3,0,0
Usama Mir,2024-2024,5,5,20,1,175,5,Feb-21,35,8.75,24,0,0
Zaman Khan,2023-2024,7,7,21,0,175,5,01-Apr,35,8.33,25.2,0,0
Hasan Ali,2018-2021,5,5,16.5,0,159,4,Mar-35,39.75,9.44,25.2,0,0
Iftikhar Ahmed,2020-2024,20,8,14,0,101,4,Mar-24,25.25,7.21,21,0,0
Naseem Shah,2022-2024,7,6,22.1,0,187,4,Feb-38,46.75,8.43,33.2,0,0
Rumman Raees,2018-2018,3,3,11,0,92,4,Feb-24,23,8.36,16.5,0,0
Mohammad Wasim (1),2022-2024,6,6,19,0,150,3,Feb-20,50,7.89,38,0,0
Abrar Ahmed,2024-2024,3,2,8,0,46,2,Feb-15,23,5.75,24,0,0
Mohammad Hafeez,2018-2021,7,4,9,0,49,2,01-Dec,24.5,5.44,27,0,0
Waqas Maqsood,2018-2018,1,1,1.5,0,21,2,Feb-21,10.5,11.45,5.5,0,0
Aamer Jamal,2024-2024,2,2,8,0,97,1,Jan-42,97,12.12,48,0,0
Aamer Yamin,2018-2018,1,1,4,0,25,1,Jan-25,25,6.25,24,0,0
Shahnawaz Dahani,2022-2022,2,2,5,0,43,1,Jan-22,43,8.6,30,0,0
Ihsanullah,2023-2023,1,1,4,0,39,0,-,-,9.75,-,0,0
Mohammad Hasnain,2020-2020,1,1,4,0,29,0,-,-,7.25,-,0,0
Saim Ayub,2023-2024,14,1,2,0,20,0,-,-,10,-,0,0
Usman Shinwari,2018-2018,1,1,3,0,24,0,-,-,8,-,0,0
Wahab Riaz,2020-2020,2,2,4.5,0,64,0,-,-,13.24,-,0,0
