Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Hasan Ali,2019-2021,7,7,26,0,242,10,Mar-40,24.2,9.3,15.6,0,0
Shaheen Shah Afridi,2019-2022,10,10,37,1,280,10,Mar-14,28,7.56,22.2,0,0
Faheem Ashraf,2019-2021,9,9,26,0,252,8,Mar-17,31.5,9.69,19.5,0,0
Mohammad Nawaz (3),2021-2022,8,8,26,0,191,8,Feb-13,23.87,7.34,19.5,0,0
Haris Rauf,2021-2022,6,6,19.3,0,209,6,Feb-18,34.83,10.71,19.5,0,0
Usman Qadir,2021-2021,5,5,17,0,140,6,Feb-21,23.33,8.23,17,0,0
Shadab Khan,2019-2022,4,4,12,0,113,4,Feb-16,28.25,9.41,18,0,0
Imad Wasim,2019-2019,3,3,12,1,51,3,01-Sep,17,4.25,24,0,0
Mohammad Amir,2019-2019,1,1,4,0,27,3,Mar-27,9,6.75,8,0,0
Usman Shinwari,2019-2019,2,2,8,0,94,3,Mar-31,31.33,11.75,16,0,0
Zahid Mahmood,2021-2021,1,1,4,0,40,3,Mar-40,13.33,10,8,0,0
Mohammad Hasnain,2021-2021,1,1,2,0,25,1,Jan-25,25,12.5,12,0,0
Mohammad Wasim (1),2022-2022,1,1,2,0,13,1,Jan-13,13,6.5,12,0,0
Naseem Shah,2022-2022,1,1,3,0,19,1,Jan-19,19,6.33,18,0,0
Fakhar Zaman,2019-2021,6,1,1,0,12,0,-,-,12,-,0,0
Hussain Talat,2019-2021,6,1,1,0,14,0,-,-,14,-,0,0
Iftikhar Ahmed,2021-2022,3,1,1.2,0,14,0,-,-,10.5,-,0,0
Khushdil Shah,2021-2021,2,1,1,0,6,0,-,-,6,-,0,0
Shoaib Malik,2019-2019,3,1,1,0,12,0,-,-,12,-,0,0
