Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Mohammad Amir,2017-2019,4,4,16,0,105,7,Apr-13,15,6.56,13.7,1,0
Faheem Ashraf,2017-2019,4,4,12,0,72,6,Mar-16,12,6,12,0,0
Hasan Ali,2017-2022,4,4,14.3,0,118,6,Mar-23,19.66,8.13,14.5,0,0
Haris Rauf,2022-2022,2,2,7,0,48,5,Mar-29,9.6,6.85,8.4,0,0
Mohammad Hasnain,2019-2022,4,4,15,0,138,5,Mar-37,27.6,9.2,18,0,0
Shadab Khan,2017-2022,7,7,25,0,192,5,Jan-14,38.4,7.68,30,0,0
Imad Wasim,2017-2019,6,6,24,0,148,4,Jan-18,37,6.16,36,0,0
Mohammad Hafeez,2017-2017,3,3,7,1,42,3,02-Oct,14,6,14,0,0
Usman Shinwari,2017-2019,3,3,10,0,81,2,Feb-20,40.5,8.1,30,0,0
Wahab Riaz,2019-2019,2,2,8,0,57,2,Jan-26,28.5,7.12,24,0,0
Iftikhar Ahmed,2019-2022,4,2,4,0,28,1,Jan-21,28,7,24,0,0
Naseem Shah,2022-2022,1,1,4,0,40,1,Jan-40,40,10,24,0,0
Usman Qadir,2022-2022,1,1,4,0,34,1,Jan-34,34,8.5,24,0,0
Mohammad Nawaz (3),2022-2022,2,2,5,0,24,0,-,-,4.8,-,0,0
