Player,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike rate,100s,50s,0's,4's,6's
RR Hendricks,1,1,1,29,29*,-,25,116,0,0,0,3,1
AK Markram,1,1,1,23,23*,-,21,109.52,0,0,0,4,0
Q de Kock,1,1,0,5,5,5,8,62.5,0,0,0,1,0
M Jansen,1,-,-,-,-,-,-,-,-,-,-,-,-
H Klaasen,1,-,-,-,-,-,-,-,-,-,-,-,-
KA Maharaj,1,-,-,-,-,-,-,-,-,-,-,-,-
DA Miller,1,-,-,-,-,-,-,-,-,-,-,-,-
A Nortje,1,-,-,-,-,-,-,-,-,-,-,-,-
K Rabada,1,-,-,-,-,-,-,-,-,-,-,-,-
T Shamsi,1,-,-,-,-,-,-,-,-,-,-,-,-
T Stubbs,1,-,-,-,-,-,-,-,-,-,-,-,-
