Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike Rate,100s,50s,0's,4's,6's
AK Markram,2021-2023,4,4,0,137,49,34.25,104,131.73,0,0,0,10,5
RR Hendricks,2018-2023,5,5,0,134,56,26.8,107,125.23,0,1,0,11,5
Q de Kock,2018-2021,5,5,0,106,70,21.2,81,130.86,0,1,0,7,6
HE van der Dussen,2020-2023,6,6,0,96,37,16,76,126.31,0,0,0,8,5
F du Plessis,2018-2020,4,4,0,71,27,17.75,58,122.41,0,0,0,8,0
DA Miller,2018-2021,5,5,1,55,16,13.75,61,90.16,0,0,0,1,0
T Stubbs,2023-2023,3,3,0,52,27,17.33,37,140.54,0,0,1,4,3
D Ferreira,2023-2023,1,1,0,48,48,48,21,228.57,0,0,0,1,5
T Bavuma,2021-2023,4,4,0,47,35,11.75,27,174.07,0,0,2,8,1
H Klaasen,2018-2021,3,3,0,47,22,15.66,37,127.02,0,0,0,5,1
K Rabada,2018-2021,5,3,1,46,22,23,46,100,0,0,0,3,3
G Coetzee,2023-2023,3,3,0,25,13,8.33,24,104.16,0,0,0,1,1
PJ van Biljon,2020-2020,3,3,1,24,16,12,22,109.09,0,0,0,3,0
M Jansen,2023-2023,1,1,0,20,20,20,14,142.85,0,0,0,3,0
L Ngidi,2018-2023,7,5,3,18,13*,9,18,100,0,0,1,2,0
D Pretorius,2020-2021,3,2,0,12,11,6,11,109.09,0,0,0,0,1
KA Maharaj,2021-2023,2,2,1,9,9*,9,9,100,0,0,1,0,1
BC Fortuin,2023-2023,2,2,0,8,8,4,11,72.72,0,0,1,1,0
JT Smuts,2020-2020,1,1,0,7,7,7,5,140,0,0,0,1,0
MP Breetzke,2023-2023,1,1,0,5,5,5,7,71.42,0,0,0,1,0
D Brevis,2023-2023,2,2,0,5,5,2.5,7,71.42,0,0,1,0,0
A Nortje,2020-2021,3,2,0,4,2,2,9,44.44,0,0,0,0,0
T Shamsi,2018-2023,7,4,3,4,2*,4,11,36.36,0,0,1,0,0
F Behardien,2018-2018,1,1,1,3,3*,-,2,150,0,0,0,0,0
AL Phehlukwayo,2018-2020,2,2,1,2,2*,2,4,50,0,0,1,0,0
LB Williams,2023-2023,3,2,1,2,1*,2,5,40,0,0,0,0,0
CH Morris,2018-2018,1,1,0,0,0,0,1,0,0,0,1,0,0
DW Steyn,2020-2020,1,1,0,0,0,0,1,0,0,0,1,0,0
