Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
DA Miller,2017-2024,5,5,4,162,101*,162,99,163.63,1,0,0,10,10
Q de Kock,2017-2024,4,4,0,156,63,39,108,144.44,0,2,0,16,6
RR Rossouw,2022-2022,1,1,0,109,109,109,56,194.64,1,0,0,7,8
HM Amla,2017-2017,2,2,0,88,85,44,55,160,0,1,0,11,1
AB de Villiers,2017-2017,2,2,0,69,49,34.5,42,164.28,0,0,0,9,1
H Klaasen,2024-2024,1,1,0,46,46,46,44,104.54,0,0,0,2,3
F Behardien,2017-2017,2,2,2,42,36*,-,22,190.9,0,0,0,2,2
T Bavuma,2021-2022,2,2,1,33,31*,33,34,97.05,0,0,0,3,1
HE van der Dussen,2021-2021,1,1,0,22,22,22,27,81.48,0,0,0,2,0
JP Duminy,2017-2017,2,2,0,17,13,8.5,18,94.44,0,0,0,0,1
AK Markram,2021-2024,3,3,0,14,10,4.66,23,60.86,0,0,1,2,0
T Stubbs,2022-2024,2,2,0,7,7,3.5,12,58.33,0,0,1,1,0
M Jansen,2024-2024,1,1,1,5,5*,-,5,100,0,0,0,0,0
M Mosehle,2017-2017,1,1,0,5,5,5,5,100,0,0,0,1,0
RR Hendricks,2021-2024,2,2,0,4,4,2,6,66.66,0,0,1,1,0
KA Maharaj,2021-2024,3,1,1,4,4*,-,8,50,0,0,0,0,0
WD Parnell,2022-2022,1,1,1,0,0*,-,2,0,0,0,0,0,0
