Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
Q de Kock,2020-2024,11,11,0,324,65,29.45,197,164.46,0,2,1,22,21
HE van der Dussen,2020-2021,7,7,4,315,94*,105,210,150,0,2,0,16,18
RR Hendricks,2017-2024,10,10,0,240,70,24,195,123.07,0,3,1,26,3
T Bavuma,2020-2021,7,6,0,173,49,28.83,121,142.97,0,0,0,15,5
DA Miller,2017-2024,11,9,1,169,43,21.12,122,138.52,0,0,0,12,8
AB de Villiers,2017-2017,3,3,1,146,65*,73,97,150.51,0,1,0,10,7
H Klaasen,2020-2024,6,6,0,140,66,23.33,92,152.17,0,1,0,11,5
RR Rossouw,2022-2022,3,3,1,131,96*,65.5,77,170.12,0,1,0,17,5
F du Plessis,2020-2020,3,3,1,121,58,60.5,88,137.5,0,2,0,10,5
JT Smuts,2017-2020,5,5,0,107,45,21.4,98,109.18,0,0,1,8,5
T Stubbs,2022-2024,4,4,2,107,72,53.5,55,194.54,0,1,0,5,9
AK Markram,2021-2024,3,3,2,104,52*,104,63,165.07,0,2,0,7,4
F Behardien,2017-2017,3,3,1,99,64*,49.5,81,122.22,0,1,0,6,4
AL Phehlukwayo,2017-2022,9,6,1,68,27*,13.6,57,119.29,0,0,2,7,2
M Mosehle,2017-2017,3,2,0,51,36,25.5,34,150,0,0,0,2,5
GF Linde,2020-2020,3,2,0,41,29,20.5,26,157.69,0,0,0,3,2
D Pretorius,2017-2021,5,3,0,37,25,12.33,22,168.18,0,0,0,4,1
CH Morris,2017-2017,2,2,0,20,12,10,20,100,0,0,0,2,0
KA Maharaj,2021-2024,5,2,2,9,5*,-,7,128.57,0,0,0,1,0
PJ van Biljon,2020-2020,2,1,1,7,7*,-,6,116.66,0,0,0,0,0
M Morkel,2017-2017,2,2,2,5,5*,-,3,166.66,0,0,0,1,0
K Rabada,2020-2024,6,2,1,5,5*,5,5,100,0,0,1,1,0
DW Steyn,2020-2020,2,1,1,5,5*,-,2,250,0,0,0,1,0
D Paterson,2017-2017,2,1,1,4,4*,-,1,400,0,0,0,1,0
L Ngidi,2020-2022,9,1,1,1,1*,-,2,50,0,0,0,0,0
BC Fortuin,2020-2020,2,2,1,0,0*,0,1,0,0,0,1,0,0
BE Hendricks,2020-2020,3,1,0,0,0,0,1,0,0,0,1,0,0
