Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike rate,100s,50s,0's,4's,6's
DA Miller,2011-2024,21,18,7,452,106*,41.09,288,156.94,1,2,1,25,30
Q de Kock,2014-2024,11,10,2,351,79*,43.87,253,138.73,0,4,0,33,14
JP Duminy,2009-2018,10,10,5,295,68*,59,242,121.9,0,3,1,12,16
H Klaasen,2018-2024,10,9,0,274,81,30.44,163,168.09,0,3,0,18,20
RR Hendricks,2018-2024,11,10,0,225,70,22.5,185,121.62,0,1,0,32,3
AB de Villiers,2006-2015,9,9,0,208,63,23.11,158,131.64,0,2,0,22,5
AK Markram,2022-2024,7,6,0,169,52,28.16,120,140.83,0,1,0,21,6
T Bavuma,2019-2022,10,10,2,150,49,18.75,159,94.33,0,0,2,12,4
F Behardien,2012-2018,7,7,4,146,39,48.66,107,136.44,0,0,0,13,4
F du Plessis,2012-2015,4,4,0,143,65,35.75,98,145.91,0,2,0,13,5
JH Kallis,2010-2012,3,3,0,140,73,46.66,104,134.61,0,2,0,9,5
JA Morkel,2006-2015,8,6,2,109,36,27.25,79,137.97,0,0,0,5,8
RR Rossouw,2022-2022,4,4,1,100,100*,33.33,53,188.67,1,0,3,7,8
HE van der Dussen,2019-2022,7,5,1,98,75*,24.5,79,124.05,0,1,0,9,5
GC Smith,2006-2010,4,4,0,82,36,20.5,81,101.23,0,0,0,7,2
CA Ingram,2011-2012,2,2,0,80,78,40,58,137.93,0,1,0,8,3
T Stubbs,2022-2024,8,5,1,74,31,18.5,58,127.58,0,0,1,8,2
MN van Wyk,2011-2011,1,1,0,67,67,67,39,171.79,0,1,0,5,5
WD Parnell,2009-2022,11,5,2,63,24,21,80,78.75,0,0,0,4,1
D Pretorius,2019-2022,8,5,1,63,29,15.75,47,134.04,0,0,1,4,6
HM Amla,2011-2015,5,5,0,61,36,12.2,48,127.08,0,0,1,9,0
KA Maharaj,2022-2024,11,5,1,55,41,13.75,55,100,0,0,1,5,3
MV Boucher,2007-2010,3,3,1,51,36,25.5,58,87.93,0,0,0,5,0
C Jonker,2018-2018,1,1,0,49,49,49,24,204.16,0,0,0,5,2
J Botha,2009-2012,4,3,1,37,25,18.5,29,127.58,0,0,0,2,2
AL Phehlukwayo,2018-2023,7,4,2,31,13,15.5,20,155,0,0,1,2,2
JM Kemp,2006-2007,2,2,0,27,22,13.5,37,72.97,0,0,0,4,0
JJ van der Wath,2006-2007,2,2,0,23,21,11.5,27,85.18,0,0,0,1,0
JL Ontong,2012-2012,1,1,0,22,22,22,7,314.28,0,0,0,2,2
MP Breetzke,2023-2023,2,2,0,20,16,10,10,200,0,0,0,2,1
RJ Peterson,2006-2012,3,3,0,20,10,6.66,28,71.42,0,0,0,1,0
K Rabada,2015-2024,13,4,2,20,9,10,22,90.9,0,0,0,2,0
RE Levi,2012-2012,1,1,0,19,19,19,7,271.42,0,0,0,4,0
JT Smuts,2018-2018,2,2,0,16,14,8,18,88.88,0,0,0,3,0
M Jansen,2022-2024,3,2,0,14,12,7,21,66.66,0,0,0,1,1
HH Gibbs,2006-2009,3,3,0,13,7,4.33,13,100,0,0,0,2,0
D Ferreira,2023-2023,1,1,0,12,12,12,11,109.09,0,0,0,0,1
LE Bosman,2006-2010,2,2,0,9,8,4.5,21,42.85,0,0,0,0,0
M Morkel,2007-2012,4,2,1,7,6,7,6,116.66,0,0,0,0,1
M Ntini,2007-2011,2,2,2,5,4*,-,4,125,0,0,0,1,0
T Shamsi,2018-2024,13,4,3,5,4*,5,7,71.42,0,0,1,0,0
R Telemachus,2006-2006,1,1,1,5,5*,-,3,166.66,0,0,0,0,0
CH Morris,2015-2018,5,2,0,4,4,2,4,100,0,0,1,1,0
L Ngidi,2022-2022,5,1,0,4,4,4,10,40,0,0,0,0,0
A Nortje,2019-2024,10,4,2,4,2*,2,8,50,0,0,1,0,0
CJ Dala,2018-2018,3,1,1,2,2*,-,3,66.66,0,0,0,0,0
VD Philander,2007-2007,1,1,0,2,2,2,5,40,0,0,0,0,0
N Burger,2023-2023,1,1,0,1,1,1,3,33.33,0,0,0,0,0
D Paterson,2018-2018,2,1,0,1,1,1,1,100,0,0,0,0,0
J Theron,2011-2012,2,1,1,1,1*,-,4,25,0,0,0,0,0
