Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike rate,100s,50s,0's,4's,6's
Q de Kock,2021-2024,12,12,0,452,100,37.66,290,155.86,1,3,1,43,22
RR Hendricks,2021-2024,12,12,0,416,87,34.66,246,169.1,0,3,1,45,18
AK Markram,2021-2024,8,8,3,269,70,53.8,175,153.71,0,2,0,21,10
HE van der Dussen,2021-2024,9,9,2,238,56*,34,196,121.42,0,2,0,11,10
DA Miller,2021-2024,10,9,1,125,48,15.62,105,119.04,0,0,0,8,4
T Bavuma,2021-2021,6,6,0,78,46,13,73,106.84,0,0,1,9,1
RR Rossouw,2023-2023,3,3,0,68,42,22.66,32,212.5,0,0,0,7,5
H Klaasen,2021-2024,7,6,1,62,22,12.4,44,140.9,0,0,0,6,2
PWA Mulder,2021-2024,4,4,1,54,36,18,49,110.2,0,0,1,5,1
RD Rickelton,2024-2024,3,3,0,43,19,14.33,38,113.15,0,0,0,5,0
K Rabada,2021-2024,9,5,5,38,16*,-,29,131.03,0,0,0,3,1
MP Breetzke,2024-2024,3,3,0,36,19,12,36,100,0,0,0,4,0
T Stubbs,2024-2024,1,1,0,29,29,29,27,107.4,0,0,0,4,0
M Jansen,2023-2024,2,1,1,21,21*,-,14,150,0,0,0,1,1
SSB Magala,2023-2023,2,1,1,18,18*,-,5,360,0,0,0,1,2
PE Kruger,2024-2024,1,1,1,16,16*,-,13,123.07,0,0,0,1,1
BC Fortuin,2021-2024,6,5,3,15,9*,7.5,18,83.33,0,0,1,2,0
N Peter,2024-2024,2,1,1,10,10*,-,7,142.85,0,0,0,1,0
GF Linde,2021-2021,5,4,0,9,6,2.25,14,64.28,0,0,2,1,0
AL Phehlukwayo,2024-2024,2,2,0,7,4,3.5,17,41.17,0,0,0,0,0
WD Parnell,2023-2023,3,2,0,6,4,3,8,75,0,0,0,0,0
L Ngidi,2021-2024,8,2,1,5,5*,5,10,50,0,0,1,1,0
A Nortje,2021-2024,10,4,3,4,4*,4,12,33.33,0,0,1,0,0
KA Maharaj,2021-2024,2,1,0,2,2,2,6,33.33,0,0,0,0,0
OEG Baartman,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
G Coetzee,2024-2024,2,2,0,0,0,0,5,0,0,0,2,0,0
T Shamsi,2021-2024,9,2,1,0,0*,0,2,0,0,0,1,0,0
