Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
L Ngidi,2018-2023,7,7,20.5,0,235,7,Mar-41,33.57,11.28,17.8,0,0
T Shamsi,2018-2023,7,7,26,0,189,7,Feb-31,27,7.26,22.2,0,0
A Nortje,2020-2021,3,3,12,0,91,4,Feb-21,22.75,7.58,18,0,0
LB Williams,2023-2023,3,3,8,0,85,4,Mar-44,21.25,10.62,12,0,0
G Coetzee,2023-2023,3,3,9.5,1,108,3,Feb-36,36,10.98,19.6,0,0
AL Phehlukwayo,2018-2020,2,2,6,0,56,3,Feb-21,18.66,9.33,12,0,0
K Rabada,2018-2021,5,5,17,0,163,3,Jan-27,54.33,9.58,34,0,0
BC Fortuin,2023-2023,2,2,6,0,61,2,Feb-36,30.5,10.16,18,0,0
CH Morris,2018-2018,1,1,2,0,12,2,02-Dec,6,6,6,0,0
D Pretorius,2020-2021,3,3,11.4,0,97,2,Jan-29,48.5,8.31,35,0,0
DW Steyn,2020-2020,1,1,4,0,31,2,Feb-31,15.5,7.75,12,0,0
M Jansen,2023-2023,1,1,4,0,45,1,Jan-45,45,11.25,24,0,0
KA Maharaj,2021-2023,2,2,7,0,63,1,Jan-23,63,9,42,0,0
AK Markram,2021-2023,4,2,6,0,50,1,Jan-37,50,8.33,36,0,0
JT Smuts,2020-2020,1,1,2,0,15,0,-,-,7.5,-,0,0
