Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
A Nortje,2021-2024,3,3,10.5,0,35,9,04-Oct,3.88,3.23,7.2,1,0
K Rabada,2021-2024,3,3,11,0,63,6,Mar-20,10.5,5.72,11,0,0
T Shamsi,2021-2022,2,2,8,0,41,5,Mar-20,8.2,5.12,9.6,0,0
KA Maharaj,2021-2024,3,3,12,0,74,4,Mar-27,18.5,6.16,18,0,0
R Frylinck,2017-2017,2,2,6,0,42,3,Feb-33,14,7,12,0,0
BE Hendricks,2017-2017,2,2,6.3,0,70,3,Feb-42,23.33,10.76,13,0,0
AM Phangiso,2017-2017,2,2,7,0,61,3,Feb-31,20.33,8.71,14,0,0
AL Phehlukwayo,2017-2017,2,2,7,0,46,3,Feb-25,15.33,6.57,14,0,0
JP Duminy,2017-2017,2,2,5,0,38,2,Feb-23,19,7.6,15,0,0
D Paterson,2017-2017,1,1,4,0,29,2,Feb-29,14.5,7.25,12,0,0
D Pretorius,2017-2021,2,2,6,0,38,2,01-Nov,19,6.33,18,0,0
OEG Baartman,2024-2024,1,1,4,0,27,0,-,-,6.75,-,0,0
M Jansen,2024-2024,1,1,4,0,17,0,-,-,4.25,-,0,0
WD Parnell,2022-2022,1,1,2,0,18,0,-,-,9,-,0,0
