Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
L Ngidi,2020-2022,9,9,31,0,298,19,May-39,15.68,9.61,9.7,0,1
T Shamsi,2017-2022,12,12,43,0,369,16,May-24,23.06,8.58,16.1,0,1
AL Phehlukwayo,2017-2022,9,9,31.4,0,327,14,Mar-39,23.35,10.32,13.5,0,0
K Rabada,2020-2024,6,6,22.5,0,202,7,Mar-48,28.85,8.84,19.5,0,0
KA Maharaj,2021-2024,5,5,18.4,0,137,5,Feb-21,27.4,7.33,22.4,0,0
D Paterson,2017-2017,2,2,8,0,64,5,Apr-32,12.8,8,9.6,1,0
A Nortje,2020-2024,5,5,18,0,139,4,01-Dec,34.75,7.72,27,0,0
D Pretorius,2017-2021,5,4,12,0,107,4,Feb-30,26.75,8.91,18,0,0
BE Hendricks,2020-2020,3,3,10,0,134,2,Feb-33,67,13.4,30,0,0
GF Linde,2020-2020,3,3,12,0,73,2,Feb-20,36.5,6.08,36,0,0
CH Morris,2017-2017,2,2,8,0,42,2,Feb-18,21,5.25,24,0,0
OEG Baartman,2024-2024,1,1,3,0,27,1,Jan-27,27,9,18,0,0
Imran Tahir,2017-2017,2,2,7,0,75,1,Jan-38,75,10.71,42,0,0
AK Markram,2021-2024,3,3,4,0,27,1,01-May,27,6.75,24,0,0
M Morkel,2017-2017,2,2,8,0,75,1,Jan-32,75,9.37,48,0,0
DW Steyn,2020-2020,2,2,8,0,76,1,Jan-33,76,9.5,48,0,0
BC Fortuin,2020-2020,2,2,3,0,29,0,-,-,9.66,-,0,0
M Jansen,2024-2024,1,1,4,0,31,0,-,-,7.75,-,0,0
H Klaasen,2020-2024,6,1,1,0,14,0,-,-,14,-,0,0
WD Parnell,2017-2017,1,1,2,0,26,0,-,-,13,-,0,0
L Sipamla,2020-2020,1,1,2.4,0,45,0,-,-,16.87,-,0,0
JT Smuts,2017-2020,5,3,5,0,53,0,-,-,10.6,-,0,0
T Stubbs,2022-2024,4,1,1,0,20,0,-,-,20,-,0,0
