Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
KA Maharaj,2022-2024,11,11,33,0,279,12,Feb-23,23.25,8.45,16.5,0,0
L Ngidi,2022-2022,5,5,15.3,0,155,10,Apr-29,15.5,10,9.3,1,0
WD Parnell,2009-2022,11,11,39.5,1,305,9,Mar-15,33.88,7.65,26.5,0,0
K Rabada,2015-2024,13,13,48,1,358,9,Mar-39,39.77,7.45,32,0,0
A Nortje,2019-2024,10,9,30,0,265,8,Feb-26,33.12,8.83,22.5,0,0
D Pretorius,2019-2022,8,7,22.3,0,206,8,Mar-26,25.75,9.15,16.8,0,0
CJ Dala,2018-2018,3,3,12,1,110,7,Mar-35,15.71,9.16,10.2,0,0
T Shamsi,2018-2024,13,13,40.4,0,345,7,Jan-18,49.28,8.48,34.8,0,0
CH Morris,2015-2018,5,5,18.2,1,186,6,Feb-16,31,10.14,18.3,0,0
J Botha,2009-2012,4,4,11,0,81,4,Mar-16,20.25,7.36,16.5,0,0
BE Hendricks,2014-2019,2,2,8,0,45,4,Feb-14,11.25,5.62,12,0,0
JA Morkel,2006-2015,8,7,15,0,121,4,03-Dec,30.25,8.06,22.5,0,0
G Coetzee,2023-2023,1,1,3.3,0,32,3,Mar-32,10.66,9.14,7,0,0
JP Duminy,2009-2018,10,7,13,0,93,3,01-Mar,31,7.15,26,0,0
BC Fortuin,2019-2019,2,2,7,0,51,3,Feb-19,17,7.28,14,0,0
Imran Tahir,2014-2015,3,3,11,0,89,3,Feb-24,29.66,8.09,22,0,0
M Jansen,2022-2024,3,3,11,0,126,3,Jan-38,42,11.45,22,0,0
M Morkel,2007-2012,4,4,16,0,115,3,Feb-28,38.33,7.18,32,0,0
RJ Peterson,2006-2012,3,3,8.5,0,56,3,Feb-25,18.66,6.33,17.6,0,0
AL Phehlukwayo,2018-2023,7,7,20,0,167,3,Jan-15,55.66,8.35,40,0,0
DW Steyn,2009-2014,4,4,14.1,1,111,3,Feb-25,37,7.83,28.3,0,0
LB Williams,2023-2023,2,2,7,0,78,3,Feb-46,26,11.14,14,0,0
KJ Abbott,2015-2015,2,2,7,0,50,2,Feb-29,25,7.14,21,0,0
JH Kallis,2010-2012,3,2,7,0,54,2,Jan-24,27,7.71,21,0,0
RK Kleinveldt,2010-2010,1,1,4,0,48,2,Feb-48,24,12,12,0,0
CK Langeveldt,2006-2006,1,1,4,0,20,2,Feb-20,10,5,12,0,0
SM Pollock,2007-2007,1,1,4,0,17,2,Feb-17,8.5,4.25,12,0,0
J Theron,2011-2012,2,2,5,0,52,2,Feb-39,26,10.4,15,0,0
N Burger,2023-2023,1,1,4,0,39,1,Jan-39,39,9.75,24,0,0
AK Markram,2022-2024,7,5,8,0,74,1,Jan-29,74,9.25,48,0,0
M Ntini,2007-2011,2,2,8,0,76,1,Jan-30,76,9.5,48,0,0
RE van der Merwe,2009-2010,2,2,5,0,26,1,Jan-13,26,5.2,30,0,0
M de Lange,2015-2015,1,1,4,0,47,0,-,-,11.75,-,0,0
F du Plessis,2012-2015,4,1,1,0,3,0,-,-,3,-,0,0
T Henderson,2006-2006,1,1,4,0,31,0,-,-,7.75,-,0,0
D Paterson,2018-2018,2,2,8,0,99,0,-,-,12.37,-,0,0
AM Phangiso,2018-2018,1,1,2,0,13,0,-,-,6.5,-,0,0
VD Philander,2007-2007,1,1,2,0,14,0,-,-,7,-,0,0
JT Smuts,2018-2018,2,2,4,0,29,0,-,-,7.25,-,0,0
R Telemachus,2006-2006,1,1,4,0,28,0,-,-,7,-,0,0
LL Tsotsobe,2012-2012,1,1,3,0,15,0,-,-,5,-,0,0
JJ van der Wath,2006-2007,2,2,8,0,61,0,-,-,7.62,-,0,0
