Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
T Shamsi,2018-2021,7,7,26,1,146,11,Mar-17,13.27,5.61,14.1,0,0
A Nortje,2021-2024,4,4,14,0,71,8,04-Jul,8.87,5.07,10.5,1,0
Imran Tahir,2017-2019,4,4,14,0,76,7,Mar-18,10.85,5.42,12,0,0
AL Phehlukwayo,2017-2019,6,5,15,0,126,7,Apr-24,18,8.4,12.8,1,0
K Rabada,2018-2024,7,7,23,1,192,7,Feb-21,27.42,8.34,19.7,0,0
L Ngidi,2017-2018,4,4,11,0,69,6,Apr-19,11.5,6.27,11,1,0
D Pretorius,2019-2021,6,5,13,0,91,6,Mar-17,15.16,7,13,0,0
BC Fortuin,2021-2021,3,3,12,0,57,5,02-Dec,11.4,4.75,14.4,0,0
KA Maharaj,2021-2024,5,5,18.1,1,99,5,Feb-22,19.8,5.44,21.8,0,0
CJ Dala,2018-2019,2,2,7,0,51,4,Feb-22,12.75,7.28,10.5,0,0
AK Markram,2019-2024,7,3,8,1,33,4,Mar-21,8.25,4.12,12,0,0
CH Morris,2019-2019,2,2,7,1,54,3,Mar-32,18,7.71,14,0,0
WD Parnell,2017-2017,3,3,9,0,81,3,Jan-16,27,9,18,0,0
L Sipamla,2019-2019,3,3,9.4,0,83,3,Feb-22,27.66,8.58,19.3,0,0
DW Steyn,2019-2019,2,2,7,1,59,3,Feb-34,19.66,8.42,14,0,0
OEG Baartman,2024-2024,1,1,4,1,9,1,01-Sep,9,2.25,24,0,0
JP Duminy,2018-2019,4,2,2,0,20,1,01-Feb,20,10,12,0,0
PWA Mulder,2021-2021,1,1,1,0,11,1,01-Nov,11,11,6,0,0
AM Phangiso,2017-2017,2,2,6,0,48,1,Jan-24,48,8,36,0,0
JT Smuts,2017-2017,3,2,4.4,0,41,1,Jan-19,41,8.78,28,0,0
M Jansen,2024-2024,1,1,3.1,0,15,0,-,-,4.73,-,0,0
D Paterson,2017-2017,1,1,3.5,0,38,0,-,-,9.91,-,0,0
