web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721752269-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","P Nissanka","2021-2024","51","50","3","1281","75","27.25","1095","116.98","0","10","5","128","28"
"1721752269-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","BKG Mendis","2019-2024","48","48","2","1275","86","27.71","961","132.67","0","10","4","106","58"
"1721752269-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","MD Shanaka","2019-2024","73","65","15","1120","74*","22.40","892","125.56","0","4","5","83","53"
"1721752269-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","KIC Asalanka","2021-2024","47","47","5","1061","80*","25.26","837","126.76","0","5","4","69","52"
"1721752269-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","PBB Rajapaksa","2019-2023","37","33","5","678","77","24.21","507","133.72","0","3","3","57","30"
"1721752269-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","PW Hasaranga","2019-2024","68","58","13","670","71","14.88","507","132.14","0","2","7","66","16"
"1721752269-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","MDKJ Perera","2019-2024","30","29","2","631","66","23.37","531","118.83","0","3","3","50","16"
"1721752269-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","DM de Silva","2020-2024","32","31","4","590","66*","21.85","479","123.17","0","2","2","53","14"
"1721752269-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","MD Gunathilaka","2019-2022","31","30","0","431","57","14.36","367","117.43","0","2","4","49","11"
"1721752269-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=batting","AD Mathews","2020-2024","18","16","4","361","66*","30.08","282","128.01","0","1","0","25","15"
