Player,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
P Nissanka,6,6,1,139,60*,27.8,90,154.44,0,1,0,19,3
PW Hasaranga,6,5,1,120,67,30,69,173.91,0,1,0,13,5
BKG Mendis,6,6,0,112,36,18.66,85,131.76,0,0,0,11,5
DM de Silva,3,3,1,104,66*,52,73,142.46,0,1,0,9,3
S Samarawickrama,3,3,0,99,51,33,78,126.92,0,1,0,10,1
PBB Rajapaksa,3,3,0,87,38,29,57,152.63,0,0,0,12,2
PHKD Mendis,1,1,1,65,65*,-,39,166.66,0,1,0,7,2
AD Mathews,3,3,1,52,42*,26,33,157.57,0,0,0,2,4
MD Gunathilaka,2,2,0,50,33,25,37,135.13,0,0,0,5,2
C Karunaratne,2,2,1,36,31,36,40,90,0,0,0,4,1
KIC Asalanka,5,5,0,34,19,6.8,48,70.83,0,0,1,1,0
MD Shanaka,6,5,1,29,13,7.25,22,131.81,0,0,1,3,1
SSD Arachchige,1,1,0,22,22,22,29,75.86,0,0,0,0,1
L Croospulle,1,1,0,16,16,16,12,133.33,0,0,0,2,1
KNA Bandara,1,1,0,13,13,13,9,144.44,0,0,0,0,2
V Viyaskanth,1,1,1,13,13*,-,19,68.42,0,0,0,1,0
M Pathirana,4,2,1,10,5*,10,16,62.5,0,0,0,1,0
S Daniel,1,1,0,9,9,9,6,150,0,0,0,2,0
RS Fernando,1,1,0,9,9,9,10,90,0,0,0,1,0
N Thushara,2,1,0,6,6,6,5,120,0,0,0,1,0
N Vimukthi,1,1,0,6,6,6,12,50,0,0,0,0,0
MNK Fernando,1,1,0,5,5,5,8,62.5,0,0,0,1,0
A Dananjaya,1,1,1,4,4*,-,1,400,0,0,0,1,0
M Theekshana,5,2,0,2,2,1,6,33.33,0,0,1,0,0
D Madushanka,2,1,1,1,1*,-,2,50,0,0,0,0,0
SMLD Samarakoon,1,1,0,1,1,1,3,33.33,0,0,0,0,0
B Fernando,2,1,0,0,0,0,2,0,0,0,1,0,0
LU Igalagamage,1,1,0,0,0,0,3,0,0,0,1,0,0
MDKJ Perera,1,1,0,0,0,0,2,0,0,0,1,0,0
