Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
P Nissanka,2021-2022,10,10,0,297,73,29.7,275,108,0,1,0,26,4
KIC Asalanka,2021-2022,10,10,1,240,39,26.66,194,123.71,0,0,1,22,9
MD Shanaka,2017-2022,13,13,2,217,54*,19.72,196,110.71,0,1,2,16,10
BKG Mendis,2017-2022,12,12,1,181,69*,16.45,187,96.79,0,1,1,12,5
DAS Gunaratne,2017-2017,3,3,1,140,84*,70,88,159.09,0,2,0,13,5
MDKJ Perera,2019-2021,4,4,0,135,57,33.75,105,128.57,0,1,0,11,3
MD Gunathilaka,2019-2022,9,9,0,104,26,11.55,94,110.63,0,0,1,10,4
EMDY Munaweera,2017-2017,3,3,0,91,44,30.33,58,156.89,0,0,0,10,3
PBB Rajapaksa,2019-2022,7,7,2,89,33*,17.8,73,121.91,0,0,1,8,3
PW Hasaranga,2019-2022,9,9,0,83,17,9.22,77,107.79,0,0,0,9,0
LD Chandimal,2022-2022,4,4,1,71,25*,23.66,70,101.42,0,0,0,5,2
C Karunaratne,2021-2022,10,10,5,61,14*,12.2,50,122,0,0,3,7,1
WIA Fernando,2019-2022,5,5,0,52,20,10.4,54,96.29,0,0,0,2,1
TAM Siriwardana,2017-2017,3,3,0,50,35,16.66,39,128.2,0,0,1,2,2
N Dickwella,2017-2019,4,4,0,49,30,12.25,37,132.43,0,0,1,8,1
CK Kapugedera,2017-2017,3,3,1,49,32,24.5,45,108.88,0,0,0,6,0
SL Malinga,2017-2019,6,5,3,32,13*,16,32,100,0,0,0,3,1
S Prasanna,2017-2017,3,3,1,27,12,13.5,26,103.84,0,0,0,4,0
DM de Silva,2022-2022,1,1,0,26,26,26,23,113.04,0,0,0,3,0
KMDN Kulasekara,2017-2017,3,2,1,20,12,20,15,133.33,0,0,0,3,0
BOP Fernando,2019-2019,2,2,0,19,13,9.5,25,76,0,0,0,2,0
WU Tharanga,2017-2017,3,3,0,18,14,6,18,100,0,0,1,2,1
PVD Chameera,2021-2022,9,6,2,16,5*,4,18,88.88,0,0,1,2,0
PADLR Sandakan,2017-2019,4,2,0,16,10,8,21,76.19,0,0,0,2,0
GSNFG Jayasuriya,2019-2019,1,1,0,12,12,12,15,80,0,0,0,0,0
M Theekshana,2021-2022,10,4,2,11,6*,5.5,10,110,0,0,0,0,1
N Pradeep,2019-2019,3,2,2,10,8*,-,9,111.11,0,0,0,1,0
I Udana,2019-2019,1,1,0,10,10,10,14,71.42,0,0,0,0,0
J Liyanage,2022-2022,1,1,0,8,8,8,9,88.88,0,0,0,0,0
JRMVB Sanjaya,2017-2017,3,1,0,5,5,5,3,166.66,0,0,0,1,0
JDF Vandersay,2022-2022,2,1,1,5,5*,-,3,166.66,0,0,0,1,0
B Fernando,2022-2022,2,1,1,2,2*,-,2,100,0,0,0,0,0
N Thushara,2022-2022,4,2,2,2,2*,-,4,50,0,0,0,0,0
K Mishara,2022-2022,1,1,0,1,1,1,3,33.33,0,0,0,0,0
CAK Rajitha,2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
