Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
BKG Mendis,2018-2024,9,9,0,442,86,49.11,271,163.09,0,6,0,38,25
MDKJ Perera,2017-2021,5,5,0,217,77,43.4,146,148.63,0,3,0,25,4
KIC Asalanka,2021-2024,6,6,2,175,80*,43.75,113,154.86,0,1,0,6,15
MD Shanaka,2018-2024,10,9,4,160,45,32,106,150.94,0,0,2,14,8
NLTC Perera,2017-2018,6,6,2,159,58,39.75,97,163.91,0,1,1,14,7
MD Gunathilaka,2018-2022,5,5,0,113,42,22.6,84,134.52,0,0,0,14,3
WU Tharanga,2017-2018,6,6,1,113,32*,22.6,84,134.52,0,0,0,16,2
P Nissanka,2021-2024,3,3,0,91,47,30.33,68,133.82,0,0,0,10,3
S Samarawickrama,2024-2024,3,3,2,75,61*,75,66,113.63,0,1,0,9,1
PHKD Mendis,2024-2024,4,4,0,72,37,18,58,124.13,0,0,0,7,4
AD Mathews,2024-2024,4,3,1,58,32*,29,47,123.4,0,0,0,5,1
PBB Rajapaksa,2021-2022,2,2,0,55,53,27.5,35,157.14,0,1,0,3,3
CK Kapugedera,2017-2017,2,1,0,50,50,50,35,142.85,0,1,0,5,1
S Prasanna,2017-2017,2,2,1,33,22*,33,23,143.47,0,0,0,1,2
DM de Silva,2024-2024,2,2,0,29,21,14.5,38,76.31,0,0,0,2,0
PW Hasaranga,2021-2024,4,4,0,23,15,5.75,22,104.54,0,0,1,2,1
DAS Gunaratne,2017-2017,2,2,0,17,17,8.5,19,89.47,0,0,1,1,0
C Karunaratne,2021-2022,2,1,0,16,16,16,10,160,0,0,0,1,0
EMDY Munaweera,2017-2017,2,2,0,12,8,6,9,133.33,0,0,0,2,0
N Dickwella,2018-2018,1,1,0,11,11,11,9,122.22,0,0,0,2,0
AM Fernando,2022-2022,1,1,1,10,10*,-,3,333.33,0,0,0,2,0
BMAJ Mendis,2018-2018,4,2,1,9,6*,9,13,69.23,0,0,0,0,1
I Udana,2018-2018,3,1,1,7,7*,-,4,175,0,0,0,0,0
JRMVB Sanjaya,2017-2017,2,1,0,6,6,6,3,200,0,0,0,1,0
LD Chandimal,2018-2018,3,2,1,4,2*,4,5,80,0,0,0,0,0
WIA Fernando,2021-2024,3,3,0,4,4,1.33,12,33.33,0,0,2,1,0
KMDN Kulasekara,2017-2017,2,1,1,2,2*,-,5,40,0,0,0,0,0
A Dananjaya,2018-2024,5,1,1,1,1*,-,1,100,0,0,0,0,0
SL Malinga,2017-2017,2,1,0,0,0,0,3,0,0,0,1,0,0
M Pathirana,2024-2024,3,1,1,0,0*,-,1,0,0,0,0,0,0
TAM Siriwardana,2017-2017,2,1,0,0,0,0,1,0,0,0,1,0,0
M Theekshana,2022-2024,5,2,1,0,0*,0,5,0,0,0,1,0,0
N Thushara,2024-2024,2,1,1,0,0*,-,1,0,0,0,0,0,0
