Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
BKG Mendis,2019-2023,7,7,0,234,79,33.42,161,145.34,0,2,0,21,12
MDKJ Perera,2019-2023,7,7,1,169,53*,28.16,142,119.01,0,1,0,13,5
N Dickwella,2019-2019,4,4,0,114,39,28.5,80,142.5,0,0,0,10,2
KIC Asalanka,2022-2023,4,4,0,98,67,24.5,74,132.43,0,1,0,2,8
MD Shanaka,2019-2023,8,8,1,89,35,12.71,75,118.66,0,0,1,9,2
DM de Silva,2019-2023,5,5,0,82,37,16.4,60,136.66,0,0,1,6,5
PW Hasaranga,2019-2023,7,6,3,59,21*,19.66,40,147.5,0,0,0,2,3
WIA Fernando,2019-2019,3,3,0,53,37,17.66,54,98.14,0,0,0,4,1
NLTC Perera,2019-2019,1,1,0,43,43,43,24,179.16,0,0,0,2,3
P Nissanka,2022-2023,4,4,0,34,25,8.5,40,85,0,0,2,6,0
PBB Rajapaksa,2022-2022,1,1,0,34,34,34,22,154.54,0,0,0,3,2
MD Gunathilaka,2019-2019,1,1,0,30,30,30,25,120,0,0,0,4,0
I Udana,2019-2019,3,3,1,30,15*,15,15,200,0,0,0,1,2
GSNFG Jayasuriya,2019-2019,2,1,0,20,20,20,13,153.84,0,0,0,2,1
LD Madushanka,2019-2019,1,1,0,20,20,20,23,86.95,0,0,0,1,0
CAK Rajitha,2019-2023,5,3,2,14,8*,14,31,45.16,0,0,0,0,0
SL Malinga,2019-2019,4,3,2,12,6*,12,16,75,0,0,0,1,0
CBRLS Kumara,2019-2023,3,2,0,8,4,4,7,114.28,0,0,0,2,0
C Karunaratne,2022-2023,2,1,0,3,3,3,8,37.5,0,0,0,0,0
Pramod Madushan,2023-2023,3,1,0,1,1,1,3,33.33,0,0,0,0,0
PADLR Sandakan,2019-2019,3,1,1,1,1*,-,2,50,0,0,0,0,0
A Dananjaya,2019-2019,3,2,0,0,0,0,4,0,0,0,2,0,0
D Madushanka,2023-2023,2,1,0,0,0,0,2,0,0,0,1,0,0
S Samarawickrama,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
M Theekshana,2022-2023,4,3,1,0,0*,0,9,0,0,0,2,0,0
