Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike rate,100's,50's,0's,4's,6's
P Nissanka,2021-2021,4,4,0,132,51,33,111,118.91,0,1,0,13,2
MDKJ Perera,2020-2021,3,3,0,110,66,36.66,72,152.77,0,1,0,10,4
PW Hasaranga,2020-2021,6,4,1,83,44,27.66,67,123.88,0,0,0,8,0
KNA Bandara,2021-2021,3,3,1,75,44*,37.5,60,125,0,0,0,4,3
MD Gunathilaka,2021-2021,3,3,0,69,56,23,57,121.05,0,1,0,5,2
KIC Asalanka,2021-2021,1,1,0,68,68,68,41,165.85,0,1,0,8,1
LD Chandimal,2021-2021,3,3,1,68,54*,34,63,107.93,0,1,0,3,1
AD Mathews,2020-2021,5,5,0,62,23,12.4,62,100,0,0,0,5,0
MD Shanaka,2020-2021,3,3,2,58,31*,58,46,126.08,0,0,0,5,2
N Dickwella,2021-2021,3,3,1,37,33,18.5,35,105.71,0,0,0,3,1
NLTC Perera,2020-2021,5,4,1,35,21*,11.66,27,129.62,0,0,0,1,2
WIA Fernando,2020-2021,3,2,0,16,9,8,15,106.66,0,0,0,2,0
GSNFG Jayasuriya,2020-2020,2,2,0,16,16,8,19,84.21,0,0,1,3,0
BKG Mendis,2020-2020,2,2,0,11,11,5.5,15,73.33,0,0,1,1,0
A Dananjaya,2021-2021,3,1,1,9,9*,-,9,100,0,0,0,0,0
SL Malinga,2020-2020,2,1,0,8,8,8,6,133.33,0,0,0,0,1
C Karunaratne,2021-2021,1,1,1,3,3*,-,3,100,0,0,0,0,0
I Udana,2020-2020,1,1,0,3,3,3,5,60,0,0,0,0,0
PVD Chameera,2021-2021,4,1,0,2,2,2,2,100,0,0,0,0,0
PADLR Sandakan,2020-2021,4,1,1,1,1*,-,1,100,0,0,0,0,0
