web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
"1721752401-1","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","PW Hasaranga","2019-2024","68","66","248.0","1","1698","110","4/9","15.43","6.84","13.5","3","0"
"1721752401-2","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","M Theekshana","2021-2024","49","49","185.2","0","1245","45","3/17","27.66","6.71","24.7","0","0"
"1721752401-3","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","PVD Chameera","2021-2024","36","36","129.1","0","1014","39","4/17","26.00","7.85","19.8","1","0"
"1721752401-4","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","CBRLS Kumara","2019-2023","25","24","86.4","1","731","33","3/7","22.15","8.43","15.7","0","0"
"1721752401-5","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","C Karunaratne","2021-2023","42","39","113.5","0","953","24","2/22","39.70","8.37","28.4","0","0"
"1721752401-6","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","MD Shanaka","2019-2024","73","39","62.5","1","535","24","2/4","22.29","8.51","15.7","0","0"
"1721752401-7","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","N Thushara","2022-2024","11","11","34.5","1","277","19","5/20","14.57","7.95","11.0","2","1"
"1721752401-8","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","A Dananjaya","2019-2024","14","14","48.1","0","439","14","3/36","31.35","9.11","20.6","0","0"
"1721752401-9","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","D Madushanka","2022-2024","14","14","46.0","0","433","14","3/24","30.92","9.41","19.7","0","0"
"1721752401-10","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","M Pathirana","2022-2024","9","9","29.4","0","239","14","4/24","17.07","8.05","12.7","1","0"
"1721752401-11","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","B Fernando","2021-2024","15","15","49.5","0","417","13","2/12","32.07","8.36","23.0","0","0"
"1721752401-12","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","Pramod Madushan","2022-2023","8","8","26.1","0","226","12","4/34","18.83","8.63","13.0","1","0"
"1721752401-13","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","PADLR Sandakan","2019-2021","14","14","52.4","0","382","12","3/10","31.83","7.25","26.3","0","0"
"1721752401-14","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","DM de Silva","2020-2024","32","18","32.4","0","227","11","2/24","20.63","6.94","17.8","0","0"
"1721752401-15","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=8;template=results;type=bowling","SL Malinga","2019-2020","11","10","38.0","1","314","10","5/6","31.40","8.26","22.8","0","1"
