Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
PW Hasaranga,6,6,23,0,129,8,Mar-13,16.12,5.6,17.2,0,0
M Pathirana,4,4,12,0,104,8,Apr-24,13,8.66,9,1,0
N Thushara,2,2,7,0,65,4,Apr-17,16.25,9.28,10.5,1,0
AD Mathews,3,3,6,0,46,3,02-Sep,15.33,7.66,12,0,0
MD Shanaka,6,4,8,0,72,3,Feb-17,24,9,16,0,0
M Theekshana,5,5,20,0,158,3,Jan-29,52.66,7.9,40,0,0
SSD Arachchige,1,1,3.3,0,26,2,Feb-26,13,7.42,10.5,0,0
A Dananjaya,1,1,4,0,37,2,Feb-37,18.5,9.25,12,0,0
B Fernando,2,2,6,0,62,2,Feb-18,31,10.33,18,0,0
CBRLS Kumara,1,1,4,0,30,2,Feb-30,15,7.5,12,0,0
D Madushanka,2,2,5,0,46,2,Feb-36,23,9.2,15,0,0
DM de Silva,3,1,1,0,9,1,01-Sep,9,9,6,0,0
AM Fernando,1,1,4,0,34,1,Jan-34,34,8.5,24,0,0
CAK Rajitha,1,1,4,0,31,1,Jan-31,31,7.75,24,0,0
SMLD Samarakoon,1,1,3,0,10,1,01-Oct,10,3.33,18,0,0
V Viyaskanth,1,1,4,0,28,1,Jan-28,28,7,24,0,0
KIC Asalanka,5,1,0.1,0,1,0,-,-,6,-,0,0
RS Fernando,1,1,1,0,17,0,-,-,17,-,0,0
C Karunaratne,2,2,3,0,49,0,-,-,16.33,-,0,0
Pramod Madushan,1,1,3,0,24,0,-,-,8,-,0,0
N Vimukthi,1,1,4,1,13,0,-,-,3.25,-,0,0
