Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
PW Hasaranga,2019-2022,9,9,29,0,299,12,Apr-33,24.91,10.31,14.5,1,0
PVD Chameera,2021-2022,9,9,35,0,311,8,Feb-30,38.87,8.88,26.2,0,0
SL Malinga,2017-2019,6,6,23,0,177,8,Feb-29,22.12,7.69,17.2,0,0
M Theekshana,2021-2022,10,10,38,0,258,8,Mar-24,32.25,6.78,28.5,0,0
CBRLS Kumara,2019-2022,5,5,18.3,0,175,5,Feb-22,35,9.45,22.2,0,0
C Karunaratne,2021-2022,10,9,27,0,197,4,Feb-22,49.25,7.29,40.5,0,0
KMDN Kulasekara,2017-2017,3,3,12,0,109,4,Apr-31,27.25,9.08,18,1,0
MD Shanaka,2017-2022,13,7,9.5,0,82,4,Feb-27,20.5,8.33,14.7,0,0
JRMVB Sanjaya,2017-2017,3,3,10,0,101,3,Feb-32,33.66,10.1,20,0,0
B Fernando,2022-2022,2,2,4.5,0,17,2,02-Dec,8.5,3.51,14.5,0,0
DAS Gunaratne,2017-2017,3,3,5,0,49,2,01-Nov,24.5,9.8,15,0,0
P Jayawickrama,2022-2022,2,2,8,0,72,2,Jan-29,36,9,24,0,0
S Prasanna,2017-2017,3,3,11,0,74,2,Jan-25,37,6.72,33,0,0
PADLR Sandakan,2017-2019,4,4,16,0,129,2,Jan-30,64.5,8.06,48,0,0
N Thushara,2022-2022,4,4,9.1,0,89,2,Jan-18,44.5,9.7,27.5,0,0
DM de Silva,2022-2022,1,1,2.1,0,18,1,Jan-18,18,8.3,13,0,0
N Pradeep,2019-2019,3,3,10.4,0,74,1,Jan-20,74,6.93,64,0,0
JDF Vandersay,2022-2022,2,2,8,0,75,1,Jan-32,75,9.37,48,0,0
KIC Asalanka,2021-2022,10,1,3,0,7,0,-,-,2.33,-,0,0
MD Gunathilaka,2019-2022,9,1,0.5,0,8,0,-,-,9.6,-,0,0
GSNFG Jayasuriya,2019-2019,1,1,2,0,24,0,-,-,12,-,0,0
EMDY Munaweera,2017-2017,3,1,1,0,22,0,-,-,22,-,0,0
CAK Rajitha,2019-2019,1,1,4,0,75,0,-,-,18.75,-,0,0
TAM Siriwardana,2017-2017,3,1,1,0,12,0,-,-,12,-,0,0
I Udana,2019-2019,1,1,2,0,16,0,-,-,8,-,0,0
