Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
N Thushara,2024-2024,2,2,8,1,38,9,May-20,4.22,4.75,5.3,1,1
PW Hasaranga,2021-2024,4,4,15,0,134,6,Feb-32,22.33,8.93,15,0,0
SL Malinga,2017-2017,2,2,8,0,72,5,Mar-34,14.4,9,9.6,0,0
MD Gunathilaka,2018-2022,5,4,7.4,0,65,4,02-Mar,16.25,8.47,11.5,0,0
BMAJ Mendis,2018-2018,4,4,10,0,78,4,Feb-21,19.5,7.8,15,0,0
M Pathirana,2024-2024,3,3,11.4,0,111,4,Feb-28,27.75,9.51,17.5,0,0
MD Shanaka,2018-2024,10,7,11.4,0,108,4,Feb-36,27,9.25,17.5,0,0
A Dananjaya,2018-2024,5,5,17,1,144,3,Feb-37,48,8.47,34,0,0
B Fernando,2021-2024,4,4,14,0,129,3,Feb-41,43,9.21,28,0,0
C Karunaratne,2021-2022,2,2,7,0,44,3,Feb-32,14.66,6.28,14,0,0
NLTC Perera,2017-2018,6,5,15.4,0,149,3,Jan-24,49.66,9.51,31.3,0,0
M Theekshana,2022-2024,5,5,20,0,150,3,Jan-23,50,7.5,40,0,0
I Udana,2018-2018,3,3,8.5,0,83,3,01-Dec,27.66,9.39,17.6,0,0
MA Aponso,2018-2018,2,2,7,0,50,2,Jan-19,25,7.14,21,0,0
DM de Silva,2024-2024,2,2,2.5,0,13,2,01-Feb,6.5,4.58,8.5,0,0
N Pradeep,2018-2018,2,2,5,0,47,2,Feb-37,23.5,9.4,15,0,0
DAS Gunaratne,2017-2017,2,2,6,0,39,2,Jan-15,19.5,6.5,18,0,0
DSK Madushanka,2018-2018,2,2,5.1,0,62,2,Feb-23,31,12,15.5,0,0
AD Mathews,2024-2024,4,3,6.3,0,44,2,Feb-17,22,6.76,19.5,0,0
JRMVB Sanjaya,2017-2017,2,2,7,1,56,2,Jan-24,28,8,21,0,0
PVD Chameera,2018-2021,2,2,8,0,85,1,Jan-44,85,10.62,48,0,0
AM Fernando,2022-2022,1,1,4,0,51,1,Jan-51,51,12.75,24,0,0
KMDN Kulasekara,2017-2017,2,2,8,0,74,1,Jan-30,74,9.25,48,0,0
CBRLS Kumara,2021-2021,1,1,4,0,29,1,Jan-29,29,7.25,24,0,0
D Madushanka,2022-2024,2,2,8,0,60,1,Jan-26,60,7.5,48,0,0
S Prasanna,2017-2017,2,2,6,0,36,1,Jan-19,36,6,36,0,0
KIC Asalanka,2021-2024,6,1,1,0,14,0,-,-,14,-,0,0
EMDY Munaweera,2017-2017,2,1,2,0,22,0,-,-,11,-,0,0
