Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
PVD Chameera,2021-2021,4,4,15.1,0,113,7,Apr-17,16.14,7.45,13,1,0
PW Hasaranga,2021-2022,5,5,19,0,118,7,Mar-21,16.85,6.21,16.2,0,0
I Udana,2018-2021,4,4,15,0,134,4,Jan-24,33.5,8.93,22.5,0,0
DM de Silva,2018-2022,3,2,6,0,46,3,Feb-24,15.33,7.66,12,0,0
MA Aponso,2018-2018,1,1,3,0,29,2,Feb-29,14.5,9.66,9,0,0
B Fernando,2021-2021,2,2,7,0,43,2,Jan-17,21.5,6.14,21,0,0
CBRLS Kumara,2021-2022,2,2,7.4,0,68,2,Feb-24,34,8.86,23,0,0
SL Malinga,2018-2018,1,1,4,0,30,2,Feb-30,15,7.5,12,0,0
PADLR Sandakan,2018-2021,2,2,8,0,67,1,Jan-39,67,8.37,48,0,0
KIC Asalanka,2021-2022,2,1,1,0,8,0,-,-,8,-,0,0
A Dananjaya,2021-2021,2,2,5.1,0,53,0,-,-,10.25,-,0,0
N Pradeep,2021-2021,1,1,2,0,23,0,-,-,11.5,-,0,0
C Karunaratne,2021-2022,2,1,2,0,17,0,-,-,8.5,-,0,0
PHKD Mendis,2018-2018,1,1,3,0,27,0,-,-,9,-,0,0
NLTC Perera,2018-2018,1,1,1,0,15,0,-,-,15,-,0,0
CAK Rajitha,2022-2022,1,1,3,0,40,0,-,-,13.33,-,0,0
MD Shanaka,2018-2022,6,2,3,0,33,0,-,-,11,-,0,0
M Theekshana,2021-2022,2,2,8,0,35,0,-,-,4.37,-,0,0
