Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
PW Hasaranga,2020-2024,13,12,45,0,353,17,04-Sep,20.76,7.84,15.8,1,0
PVD Chameera,2016-2022,15,15,54,0,427,16,Feb-14,26.68,7.9,20.2,0,0
MD Shanaka,2016-2024,24,13,28,0,211,14,Mar-16,15.07,7.53,12,0,0
D Madushanka,2022-2024,5,5,19,0,204,9,Mar-24,22.66,10.73,12.6,0,0
NLTC Perera,2010-2018,13,11,34.4,1,294,8,Mar-33,36.75,8.48,26,0,0
C Karunaratne,2021-2023,10,10,32.4,0,295,7,Feb-27,42.14,9.03,28,0,0
CBRLS Kumara,2020-2022,6,5,18.2,0,189,7,Feb-31,27,10.3,15.7,0,0
CAK Rajitha,2016-2023,5,5,20,1,178,6,Mar-29,29.66,8.9,20,0,0
M Theekshana,2022-2024,7,7,26,0,227,6,Mar-28,37.83,8.73,26,0,0
N Pradeep,2017-2018,5,5,17.3,0,203,5,Feb-61,40.6,11.6,21,0,0
M Pathirana,2024-2024,3,2,5.3,0,58,5,Apr-40,11.6,10.54,6.6,1,0
A Dananjaya,2017-2021,9,9,34.4,0,270,4,Feb-19,67.5,7.78,52,0,0
KMDN Kulasekara,2009-2016,4,4,14,0,136,4,Feb-21,34,9.71,21,0,0
SL Malinga,2009-2020,10,9,33.2,0,290,4,Feb-25,72.5,8.7,50,0,0
AD Mathews,2009-2020,10,10,31.3,0,278,4,Feb-30,69.5,8.82,47.2,0,0
HMCM Bandara,2009-2009,1,1,4,0,32,3,Mar-32,10.66,8,8,0,0
ST Jayasuriya,2009-2010,4,3,8,0,41,3,Feb-19,13.66,5.12,16,0,0
BMAJ Mendis,2012-2018,3,3,9,0,68,3,Jan-13,22.66,7.55,18,0,0
PADLR Sandakan,2020-2020,1,1,4,0,35,3,Mar-35,11.66,8.75,8,0,0
T Thushara,2009-2010,2,2,7,0,68,3,Feb-41,22.66,9.71,14,0,0
RMS Eranga,2012-2012,1,1,4,0,30,2,Feb-30,15,7.5,12,0,0
AM Fernando,2022-2024,4,3,8,0,86,2,01-Nov,43,10.75,24,0,0
HMRKB Herath,2012-2016,3,3,10.2,0,66,2,Jan-23,33,6.38,31,0,0
RTM Mendis,2021-2024,4,3,7,0,48,2,Jan-13,24,6.85,21,0,0
SMSM Senanayake,2014-2016,4,4,15,0,102,2,Jan-18,51,6.8,45,0,0
DM de Silva,2020-2023,9,4,6,0,47,1,01-Jun,47,7.83,36,0,0
TM Dilshan,2009-2016,9,4,5,0,42,1,Jan-14,42,8.4,30,0,0
CRD Fernando,2009-2016,4,4,13,0,106,1,Jan-29,106,8.15,78,0,0
MD Gunathilaka,2016-2022,11,1,3,0,16,1,Jan-16,16,5.33,18,0,0
J Mubarak,2009-2009,1,1,1,0,9,1,01-Sep,9,9,6,0,0
S Prasanna,2016-2017,4,4,9,0,60,1,Jan-25,60,6.66,54,0,0
M Pushpakumara,2009-2009,1,1,3,0,27,1,Jan-27,27,9,18,0,0
I Udana,2017-2021,5,3,9,0,75,1,Jan-36,75,8.33,54,0,0
C Wickramasinghe,2024-2024,1,1,4,0,17,1,Jan-17,17,4.25,24,0,0
PC de Silva,2017-2017,1,1,1,0,16,0,-,-,16,-,0,0
B Fernando,2022-2022,2,2,8,0,82,0,-,-,10.25,-,0,0
MVT Fernando,2017-2017,1,1,2,0,16,0,-,-,8,-,0,0
DAS Gunaratne,2016-2017,4,2,3.5,0,43,0,-,-,11.21,-,0,0
P Jayawickrama,2022-2022,2,2,4,0,34,0,-,-,8.5,-,0,0
S Randiv,2010-2010,1,1,3,0,25,0,-,-,8.33,-,0,0
RAS Lakmal,2018-2018,1,1,2,0,19,0,-,-,9.5,-,0,0
PHKD Mendis,2024-2024,3,2,4,0,33,0,-,-,8.25,-,0,0
TAM Siriwardana,2016-2016,4,3,3,0,28,0,-,-,9.33,-,0,0
JDF Vandersay,2022-2022,2,2,6.2,0,58,0,-,-,9.15,-,0,0
K Weeraratne,2009-2009,2,2,4,0,55,0,-,-,13.75,-,0,0
