Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
SL Malinga,2019-2019,4,4,16,1,92,9,05-Jun,10.22,5.75,10.6,0,1
PW Hasaranga,2019-2023,7,7,24.4,0,180,7,Feb-21,25.71,7.29,21.1,0,0
A Dananjaya,2019-2019,3,3,11,0,94,6,Mar-36,15.66,8.54,11,0,0
CAK Rajitha,2019-2023,5,5,18,0,170,6,Mar-44,28.33,9.44,18,0,0
CBRLS Kumara,2019-2023,3,3,10.5,0,99,4,Mar-38,24.75,9.13,16.2,0,0
Pramod Madushan,2023-2023,3,3,10,0,96,3,Feb-37,32,9.6,20,0,0
M Theekshana,2022-2023,4,4,16,0,97,3,Jan-22,32.33,6.06,32,0,0
PADLR Sandakan,2019-2019,3,3,12,0,90,2,Jan-33,45,7.5,36,0,0
MD Shanaka,2019-2023,8,2,3,0,30,2,Feb-20,15,10,9,0,0
DM de Silva,2019-2023,5,2,3.4,0,45,1,Jan-14,45,12.27,22,0,0
D Madushanka,2023-2023,2,2,4,0,63,1,Jan-45,63,15.75,24,0,0
NLTC Perera,2019-2019,1,1,4,0,42,1,Jan-42,42,10.5,24,0,0
I Udana,2019-2019,3,2,6.3,0,56,1,Jan-18,56,8.61,39,0,0
MD Gunathilaka,2019-2019,1,1,1,0,7,0,-,-,7,-,0,0
GSNFG Jayasuriya,2019-2019,2,2,3,0,32,0,-,-,10.66,-,0,0
C Karunaratne,2022-2023,2,2,6,0,70,0,-,-,11.66,-,0,0
