Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
PW Hasaranga,2019-2022,5,5,20,0,127,14,Mar-21,9.07,6.35,8.5,0,0
N Pradeep,2019-2019,2,2,7,0,46,7,Apr-25,6.57,6.57,6,1,0
I Udana,2017-2019,5,5,16.4,0,116,7,03-Nov,16.57,6.96,14.2,0,0
Pramod Madushan,2022-2022,2,2,6.1,0,55,6,Apr-34,9.16,8.91,6.1,1,0
JRMVB Sanjaya,2017-2017,3,3,11.5,0,93,4,Feb-20,23.25,7.85,17.7,0,0
C Karunaratne,2022-2022,2,2,5,0,37,3,Feb-33,12.33,7.4,10,0,0
NLTC Perera,2017-2017,3,3,10,0,66,3,Mar-24,22,6.6,20,0,0
CAK Rajitha,2019-2019,3,3,11,0,48,3,01-Nov,16,4.36,22,0,0
M Theekshana,2022-2022,2,2,8,0,46,3,Feb-21,15.33,5.75,16,0,0
CBRLS Kumara,2019-2019,1,1,4,0,24,2,Feb-24,12,6,12,0,0
SS Pathirana,2017-2017,3,3,9,0,51,2,Jan-18,25.5,5.66,27,0,0
DM de Silva,2022-2022,2,2,5,0,22,1,Jan-18,22,4.4,30,0,0
EMDY Munaweera,2017-2017,3,3,7,0,48,1,Jan-26,48,6.85,42,0,0
PC de Silva,2017-2017,1,1,1,0,14,0,-,-,14,-,0,0
MD Gunathilaka,2017-2022,8,2,3,0,31,0,-,-,10.33,-,0,0
D Madushanka,2022-2022,2,2,7,0,59,0,-,-,8.42,-,0,0
LD Madushanka,2019-2019,1,1,4,0,36,0,-,-,9,-,0,0
S Prasanna,2017-2017,3,1,3,0,17,0,-,-,5.66,-,0,0
PADLR Sandakan,2019-2019,3,3,11,0,77,0,-,-,7,-,0,0
MD Shanaka,2017-2022,8,3,3.2,0,28,0,-,-,8.4,-,0,0
