Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
PW Hasaranga,2021-2024,5,5,19.2,0,122,8,Mar-20,15.25,6.31,14.5,0,0
PADLR Sandakan,2017-2018,3,3,12,1,65,8,Apr-23,8.12,5.41,9,1,0
KMDN Kulasekara,2017-2017,3,3,9,0,67,5,02-Oct,13.4,7.44,10.8,0,0
I Udana,2017-2019,6,6,19.1,0,178,5,Mar-13,35.6,9.28,23,0,0
A Dananjaya,2018-2021,5,5,19,0,144,4,Feb-15,36,7.57,28.5,0,0
DM de Silva,2017-2021,10,6,14,0,88,4,Feb-22,22,6.28,21,0,0
PVD Chameera,2021-2021,4,4,11,0,84,3,Feb-27,28,7.63,22,0,0
SL Malinga,2019-2019,3,3,12,0,77,3,02-Nov,25.66,6.41,24,0,0
RAS Lakmal,2017-2019,2,2,5,0,56,2,Jan-18,28,11.2,15,0,0
S Prasanna,2017-2017,3,3,7,0,59,2,Jan-14,29.5,8.42,21,0,0
MD Shanaka,2018-2024,6,5,7,1,39,2,01-Jun,19.5,5.57,21,0,0
JDF Vandersay,2019-2019,3,3,11,0,85,2,Jan-25,42.5,7.72,33,0,0
DAS Gunaratne,2017-2017,3,3,10,0,73,1,Jan-34,73,7.3,60,0,0
CAK Rajitha,2018-2018,1,1,3,0,27,1,Jan-27,27,9,18,0,0
M Theekshana,2021-2024,5,5,17,0,127,1,Jan-35,127,7.47,102,0,0
N Thushara,2024-2024,1,1,3,0,18,1,Jan-18,18,6,18,0,0
ST de Silva,2017-2017,3,1,1,0,10,0,-,-,10,-,0,0
N Pradeep,2017-2017,1,1,2,0,25,0,-,-,12.5,-,0,0
P Jayawickrama,2021-2021,1,1,1.1,0,12,0,-,-,10.28,-,0,0
C Karunaratne,2021-2021,4,3,6.4,0,60,0,-,-,9,-,0,0
CBRLS Kumara,2021-2021,1,1,3.5,0,35,0,-,-,9.13,-,0,0
AD Mathews,2017-2024,4,3,7,0,56,0,-,-,8,-,0,0
PHKD Mendis,2019-2024,5,3,5,0,43,0,-,-,8.6,-,0,0
M Pathirana,2024-2024,1,1,3,0,12,0,-,-,4,-,0,0
NLTC Perera,2018-2019,4,1,3,0,45,0,-,-,15,-,0,0
