Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
E Lewis,2017-2019,6,6,0,176,68,29.33,152,115.78,0,1,0,12,11
MN Samuels,2017-2017,3,3,1,146,89*,73,128,114.06,0,1,0,11,7
N Pooran,2024-2024,1,1,0,98,98,98,53,184.9,0,1,0,6,8
SD Hope,2019-2024,2,2,0,77,52,38.5,63,122.22,0,1,0,3,3
CAK Walton,2017-2017,3,3,0,51,29,17,34,150,0,0,1,9,1
KA Pollard,2019-2019,3,3,1,50,32*,25,41,121.95,0,0,0,3,1
LMP Simmons,2017-2019,4,4,1,45,17*,15,38,118.42,0,0,0,3,2
D Ramdin,2019-2019,2,2,1,44,24*,44,46,95.65,0,0,0,2,1
J Charles,2024-2024,1,1,0,43,43,43,27,159.25,0,0,0,8,0
SO Hetmyer,2019-2019,3,3,0,43,21,14.33,44,97.72,0,0,0,2,1
JN Mohammed,2017-2017,3,2,2,41,23*,-,41,100,0,0,0,3,1
R Powell,2017-2024,4,2,1,28,26,28,19,147.36,0,0,0,1,2
BA King,2019-2024,4,4,0,24,12,6,29,82.75,0,0,0,3,0
JO Holder,2019-2019,3,2,0,19,13,9.5,14,135.71,0,0,0,3,0
SE Rutherford,2019-2024,3,3,1,16,9,8,18,88.88,0,0,0,1,0
KMA Paul,2019-2019,2,2,1,15,11,15,16,93.75,0,0,0,0,1
CR Brathwaite,2017-2017,3,1,1,8,8*,-,5,160,0,0,0,0,1
FA Allen,2019-2019,1,1,1,5,5*,-,7,71.42,0,0,0,0,0
AD Russell,2024-2024,1,1,1,3,3*,-,3,100,0,0,0,0,0
HR Walsh,2019-2019,2,1,0,3,3,3,8,37.5,0,0,0,0,0
K Pierre,2019-2019,1,1,1,1,1*,-,2,50,0,0,0,0,0
KOK Williams,2017-2019,6,1,1,0,0*,-,0,-,0,0,0,0,0
