Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
AD Russell,2021-2024,9,9,4,234,71,46.8,108,216.66,0,2,0,14,22
LMP Simmons,2021-2021,5,5,0,165,72,33,135,122.22,0,1,0,17,8
N Pooran,2021-2024,11,10,1,141,32*,15.66,118,119.49,0,0,0,10,10
E Lewis,2021-2021,4,4,0,139,79,34.75,76,182.89,0,1,1,13,11
R Powell,2022-2024,5,5,0,123,63,24.6,85,144.7,0,1,0,8,7
CH Gayle,2021-2021,6,6,0,121,67,20.16,83,145.78,0,1,0,9,11
SO Hetmyer,2021-2021,4,3,0,108,61,36,89,121.34,0,1,0,5,4
J Charles,2022-2024,5,5,0,102,42,20.4,74,137.83,0,0,0,10,5
BA King,2022-2024,4,4,0,93,53,23.25,73,127.39,0,1,0,12,3
JO Holder,2021-2024,6,5,3,92,34*,46,52,176.92,0,0,0,7,5
SE Rutherford,2024-2024,3,3,1,74,67*,37,46,160.86,0,1,1,5,6
DJ Bravo,2021-2021,4,4,2,71,47*,35.5,56,126.78,0,0,0,2,5
KR Mayers,2022-2024,3,3,0,56,39,18.66,48,116.66,0,0,0,7,2
KA Pollard,2021-2021,1,1,0,44,44,44,31,141.93,0,0,0,4,1
FA Allen,2021-2021,5,3,1,38,29,19,26,146.15,0,0,0,2,3
RL Chase,2021-2024,2,2,0,37,37,18.5,22,168.18,0,0,1,3,2
AJ Hosein,2021-2024,6,3,1,32,25,16,25,128,0,0,1,4,1
ADS Fletcher,2021-2021,4,4,0,31,12,7.75,40,77.5,0,0,0,2,2
OF Smith,2022-2022,2,2,0,31,27,15.5,23,134.78,0,0,0,3,1
AS Joseph,2022-2024,5,3,2,20,11*,20,19,105.26,0,0,0,2,1
RA Reifer,2022-2022,1,1,0,19,19,19,23,82.6,0,0,0,0,0
SD Hope,2024-2024,2,2,0,16,16,8,10,160,0,0,1,3,0
R Shepherd,2024-2024,3,3,1,16,12,8,17,94.11,0,0,0,1,1
HR Walsh,2021-2021,6,2,2,12,12*,-,8,150,0,0,0,1,1
DM Bravo,2021-2021,1,1,0,5,5,5,7,71.42,0,0,0,0,0
Y Cariah,2022-2022,2,2,2,3,2*,-,4,75,0,0,0,0,0
SS Cottrell,2021-2022,5,1,1,1,1*,-,1,100,0,0,0,0,0
