Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
R Powell,2018-2022,9,7,2,216,61*,43.2,150,144,0,2,0,13,12
N Pooran,2018-2022,7,6,2,214,74*,53.5,138,155.07,0,1,0,16,13
E Lewis,2018-2021,6,6,0,117,89,19.5,70,167.14,0,1,0,8,9
SD Hope,2018-2018,3,3,0,114,55,38,54,211.11,0,1,0,12,7
AD Russell,2018-2021,4,4,1,99,47,33,52,190.38,0,0,1,5,11
KR Mayers,2022-2022,3,2,0,72,55,36,47,153.19,0,1,0,4,6
BA King,2022-2022,3,2,0,64,57,32,48,133.33,0,1,0,7,2
KMA Paul,2018-2022,7,4,1,61,29,20.33,38,160.52,0,0,0,2,5
ADS Fletcher,2018-2018,3,3,0,56,43,18.66,52,107.69,0,0,0,3,3
RL Chase,2021-2021,1,1,0,39,39,39,46,84.78,0,0,0,2,0
MN Samuels,2018-2018,3,3,0,38,26,12.66,23,165.21,0,0,0,3,3
CR Brathwaite,2018-2018,6,4,0,31,11,7.75,27,114.81,0,0,0,2,2
SO Hetmyer,2018-2021,4,3,0,28,19,9.33,25,112,0,0,1,2,1
D Ramdin,2018-2018,3,2,0,26,21,13,29,89.65,0,0,0,1,1
CAK Walton,2018-2018,1,1,0,19,19,19,19,100,0,0,0,3,0
AR Nurse,2018-2018,3,2,1,16,16,16,9,177.77,0,0,0,1,1
JO Holder,2021-2021,1,1,1,15,15*,-,5,300,0,0,0,0,2
KA Pollard,2021-2021,1,1,1,14,14*,-,18,77.77,0,0,0,0,1
OF Smith,2022-2022,3,2,1,13,11*,13,8,162.5,0,0,0,0,1
SSJ Brooks,2022-2022,3,2,0,12,12,6,15,80,0,0,1,2,0
FA Allen,2018-2018,3,2,0,8,8,4,10,80,0,0,1,1,0
SS Cottrell,2018-2018,3,2,2,5,3*,-,9,55.55,0,0,0,0,0
CH Gayle,2021-2021,1,1,0,4,4,4,10,40,0,0,0,0,0
AJ Hosein,2021-2022,4,1,1,3,3*,-,3,100,0,0,0,0,0
R Shepherd,2022-2022,3,1,0,3,3,3,5,60,0,0,0,0,0
DM Bravo,2018-2018,2,1,0,2,2,2,3,66.66,0,0,0,0,0
SE Rutherford,2018-2018,1,1,0,2,2,2,6,33.33,0,0,0,0,0
S Badree,2018-2018,3,1,1,1,1*,-,1,100,0,0,0,0,0
DJ Bravo,2021-2021,1,1,0,1,1,1,3,33.33,0,0,0,0,0
O Thomas,2018-2018,3,2,0,0,0,0,4,0,0,0,2,0,0
KOK Williams,2018-2018,3,1,1,0,0*,-,0,-,0,0,0,0,0
