Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
N Pooran,2019-2024,15,15,1,420,82,30,316,132.91,0,3,0,26,26
R Powell,2017-2024,10,10,2,343,107,42.87,188,182.44,1,1,0,14,32
BA King,2022-2024,11,11,3,260,82*,32.5,206,126.21,0,2,2,27,11
SD Hope,2019-2023,11,11,1,161,43*,16.1,161,100,0,0,1,11,7
KR Mayers,2022-2023,6,6,0,135,40,22.5,87,155.17,0,0,1,8,12
SE Rutherford,2023-2024,4,4,1,123,36,41,71,173.23,0,0,0,9,8
AD Russell,2021-2024,7,7,2,106,51,21.2,66,160.6,0,1,1,5,10
KA Pollard,2017-2022,7,6,3,81,41*,27,70,115.71,0,0,0,6,2
JO Holder,2019-2023,13,9,2,77,36,11,58,132.75,0,0,3,4,6
CH Gayle,2017-2021,4,4,0,73,40,18.25,50,146,0,0,0,7,6
R Shepherd,2022-2024,7,5,3,66,44*,33,46,143.47,0,0,1,2,7
J Charles,2023-2024,2,2,0,65,38,32.5,56,116.07,0,0,0,5,3
AJ Hosein,2021-2024,12,3,2,65,44*,65,40,162.5,0,0,0,4,5
DM Bravo,2019-2022,7,5,1,58,28,14.5,67,86.56,0,0,1,3,3
E Lewis,2017-2021,2,2,0,57,51,28.5,33,172.72,0,1,0,6,4
SO Hetmyer,2019-2023,6,6,0,44,14,7.33,47,93.61,0,0,0,5,1
FA Allen,2019-2022,7,5,0,28,12,5.6,25,112,0,0,1,0,3
AR Nurse,2017-2019,2,2,2,26,13*,-,20,130,0,0,0,2,1
CAK Walton,2017-2017,1,1,0,13,13,13,8,162.5,0,0,0,0,1
CR Brathwaite,2017-2019,4,4,0,12,10,3,19,63.15,0,0,2,0,1
D Bishoo,2019-2019,2,2,1,11,8,11,23,47.82,0,0,0,1,0
JD Campbell,2019-2019,1,1,0,11,11,11,14,78.57,0,0,0,2,0
OC McCoy,2019-2021,3,3,1,11,10,5.5,11,100,0,0,1,1,1
MN Samuels,2017-2017,1,1,0,10,10,10,13,76.92,0,0,0,1,0
OF Smith,2022-2022,3,1,0,7,7,7,3,233.33,0,0,0,0,1
SS Cottrell,2019-2022,8,2,0,6,4,3,7,85.71,0,0,0,1,0
DJ Bravo,2021-2021,1,1,0,5,5,5,5,100,0,0,0,1,0
MW Forde,2023-2023,1,1,0,3,3,3,5,60,0,0,0,0,0
R Rampaul,2021-2021,1,1,0,3,3,3,8,37.5,0,0,0,0,0
LMP Simmons,2021-2021,1,1,0,3,3,3,7,42.85,0,0,0,0,0
SP Narine,2017-2017,1,1,0,2,2,2,3,66.66,0,0,0,0,0
KOK Williams,2017-2017,1,1,1,2,2*,-,2,100,0,0,0,0,0
JE Taylor,2017-2017,1,1,0,1,1,1,3,33.33,0,0,0,0,0
G Motie,2023-2024,5,1,1,0,0*,-,1,0,0,0,0,0,0
