Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls faced,Strike Rate,100s,50s,0's,4's,6's
N Pooran,2018-2023,20,20,2,592,67,32.88,438,135.15,0,5,1,45,35
SO Hetmyer,2018-2023,19,18,1,395,61,23.23,301,131.22,0,3,1,28,26
R Powell,2017-2023,18,16,3,374,68*,28.76,266,140.6,0,2,0,23,23
BA King,2019-2023,13,12,1,336,85*,30.54,275,122.18,0,2,1,35,13
KA Pollard,2017-2022,13,10,3,272,68,38.85,226,120.35,0,2,0,14,22
KR Mayers,2022-2023,12,12,0,224,73,18.66,171,130.99,0,1,0,30,9
E Lewis,2017-2019,7,6,1,215,125*,43,131,164.12,1,0,2,13,19
SD Hope,2018-2023,6,6,1,119,45,23.8,86,138.37,0,0,0,12,5
LMP Simmons,2019-2019,3,3,1,76,67*,38,60,126.66,0,1,0,5,4
DM Bravo,2018-2018,3,3,1,71,43*,35.5,65,109.23,0,0,0,6,2
JO Holder,2019-2023,14,10,3,57,24*,8.14,49,116.32,0,0,3,3,3
KMA Paul,2018-2022,8,5,2,57,20,19,68,83.82,0,0,1,4,2
AJ Hosein,2022-2023,11,5,2,45,16*,15,49,91.83,0,0,0,3,2
R Shepherd,2022-2023,8,5,2,44,29,14.66,38,115.78,0,0,1,1,4
DC Thomas,2022-2022,4,4,2,42,31*,21,34,123.52,0,0,0,3,2
FA Allen,2018-2022,6,4,2,40,27,20,29,137.93,0,0,1,5,1
CR Brathwaite,2017-2019,7,4,1,38,15*,12.66,61,62.29,0,0,0,0,2
D Ramdin,2018-2019,4,4,1,38,15,12.66,44,86.36,0,0,0,1,1
MN Samuels,2017-2017,1,1,1,36,36*,-,29,124.13,0,0,0,5,1
SSJ Brooks,2022-2022,2,2,0,33,20,16.5,28,117.85,0,0,0,4,1
OF Smith,2022-2023,6,5,2,23,15*,7.66,25,92,0,0,2,0,1
AS Joseph,2022-2023,8,3,3,21,10*,-,29,72.41,0,0,0,0,1
CH Gayle,2017-2017,1,1,0,18,18,18,20,90,0,0,0,1,1
J Charles,2023-2023,3,3,0,17,12,5.66,23,73.91,0,0,0,1,1
RL Chase,2022-2023,5,2,0,16,12,8,17,94.11,0,0,0,2,0
K Pierre,2018-2019,7,3,1,16,9*,8,21,76.19,0,0,0,2,0
KOK Williams,2017-2019,4,1,1,13,13*,-,7,185.71,0,0,0,1,1
HR Walsh,2019-2022,5,3,2,11,11,11,20,55,0,0,0,1,0
DC Drakes,2022-2022,4,3,0,10,5,3.33,12,83.33,0,0,0,2,0
SP Narine,2017-2019,4,3,0,8,4,2.66,22,36.36,0,0,0,0,0
O Thomas,2018-2019,6,2,2,8,8*,-,7,114.28,0,0,0,2,0
SS Cottrell,2019-2022,8,2,2,4,4*,-,5,80,0,0,0,1,0
OC McCoy,2022-2023,9,2,0,2,2,1,11,18.18,0,0,1,0,0
JD Campbell,2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
