Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
ADS Fletcher,2017-2020,6,5,1,131,46,32.75,88,148.86,0,0,0,11,9
SSJ Brooks,2022-2022,3,3,1,105,56*,52.5,107,98.13,0,1,0,6,5
KA Pollard,2020-2020,3,2,1,103,75*,103,52,198.07,0,1,0,4,12
R Powell,2017-2024,10,8,1,98,27*,14,77,127.27,0,0,1,9,5
BA King,2020-2024,5,5,0,86,53,17.2,65,132.3,0,1,1,7,5
SE Rutherford,2024-2024,1,1,1,68,68*,-,39,174.35,0,1,0,2,6
R Shepherd,2020-2024,5,3,1,62,31*,31,47,131.91,0,0,0,1,5
SO Hetmyer,2018-2022,7,5,0,48,25,9.6,60,80,0,0,1,3,2
FA Allen,2020-2020,3,2,0,45,30,22.5,37,121.62,0,0,0,4,3
N Pooran,2020-2024,6,5,0,41,17,8.2,30,136.66,0,0,0,5,2
CR Brathwaite,2017-2018,3,2,0,36,21,18,28,128.57,0,0,0,1,3
JO Holder,2022-2022,2,2,0,36,25,18,28,128.57,0,0,0,3,1
OF Smith,2022-2022,3,2,1,36,27*,36,20,180,0,0,0,4,2
AR Nurse,2017-2018,3,2,2,34,20*,-,34,100,0,0,0,3,1
JE Taylor,2017-2018,2,2,0,33,20,16.5,14,235.71,0,0,0,3,3
KR Mayers,2020-2022,4,4,1,30,20,10,31,96.77,0,0,0,2,2
KMA Paul,2020-2020,2,2,1,26,26*,26,20,130,0,0,1,0,3
OC McCoy,2022-2022,2,1,1,23,23*,-,15,153.33,0,0,0,3,1
SD Hope,2017-2018,3,1,0,15,15,15,17,88.23,0,0,0,1,0
AJ Hosein,2022-2024,2,1,0,15,15,15,17,88.23,0,0,0,0,1
AD Russell,2024-2024,1,1,0,14,14,14,7,200,0,0,0,2,1
CH Gayle,2017-2018,3,2,0,12,12,6,10,120,0,0,1,2,0
HR Walsh,2020-2022,4,1,1,10,10*,-,8,125,0,0,0,0,1
DC Thomas,2022-2022,3,3,0,7,5,2.33,16,43.75,0,0,0,1,0
CAK Walton,2017-2018,3,2,0,7,7,3.5,10,70,0,0,1,1,0
AS Joseph,2022-2024,2,1,0,6,6,6,6,100,0,0,0,1,0
RR Emrit,2018-2018,1,1,0,5,5,5,6,83.33,0,0,0,0,0
S Badree,2017-2018,3,2,0,4,2,2,9,44.44,0,0,0,0,0
JN Mohammed,2017-2017,1,1,0,3,3,3,5,60,0,0,0,0,0
KOK Williams,2017-2020,3,1,0,3,3,3,5,60,0,0,0,0,0
SS Cottrell,2018-2020,4,2,1,2,1*,2,6,33.33,0,0,0,0,0
J Charles,2024-2024,1,1,0,0,0,0,5,0,0,0,1,0,0
RL Chase,2024-2024,1,1,0,0,0,0,3,0,0,0,1,0,0
G Motie,2024-2024,1,1,1,0,0*,-,1,0,0,0,0,0,0
O Thomas,2020-2020,3,1,1,0,0*,-,0,-,0,0,0,0,0
