Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
N Pooran,2021-2021,7,5,1,183,64,45.75,117,156.41,0,2,0,8,17
E Lewis,2017-2021,6,6,1,152,91,30.4,113,134.51,0,1,0,8,13
MN Samuels,2017-2018,7,7,0,152,44,21.71,155,98.06,0,0,0,16,6
CAK Walton,2017-2018,7,7,0,126,40,18,120,105,0,0,1,10,8
BA King,2021-2021,3,3,0,111,67,37,66,168.18,0,1,0,13,5
CR Brathwaite,2017-2017,4,3,2,86,37*,86,74,116.21,0,0,0,5,4
ADS Fletcher,2018-2021,6,6,2,84,52,21,69,121.73,0,1,2,5,7
SSJ Brooks,2021-2021,3,3,0,64,49,21.33,50,128,0,0,0,3,5
D Ramdin,2018-2018,3,3,1,63,42*,31.5,43,146.51,0,0,1,5,5
R Shepherd,2021-2021,6,2,1,56,35*,56,35,160,0,0,0,4,3
KA Pollard,2017-2021,8,5,1,55,22*,13.75,60,91.66,0,0,0,2,2
R Powell,2017-2021,8,8,1,48,23,6.85,57,84.21,0,0,1,3,2
JN Mohammed,2017-2018,5,5,1,46,17*,11.5,57,80.7,0,0,1,6,0
JO Holder,2017-2021,8,5,3,42,26*,21,37,113.51,0,0,1,4,1
OF Smith,2018-2021,5,3,0,42,24,14,27,155.55,0,0,0,4,3
CH Gayle,2021-2021,4,4,2,36,16,18,35,102.85,0,0,0,2,2
DM Bravo,2021-2021,1,1,1,34,34*,-,27,125.92,0,0,0,3,0
SD Hope,2021-2021,2,2,0,32,31,16,32,100,0,0,0,4,0
KMA Paul,2018-2018,3,3,2,28,17,28,24,116.66,0,0,0,4,0
SO Hetmyer,2021-2021,4,2,0,22,17,11,23,95.65,0,0,0,2,0
SP Narine,2017-2017,4,3,0,19,9,6.33,21,90.47,0,0,0,2,0
LMP Simmons,2017-2021,5,5,2,16,9*,5.33,17,94.11,0,0,0,3,0
RR Emrit,2018-2018,3,2,0,12,11,6,21,57.14,0,0,0,0,1
S Badree,2017-2018,7,4,3,10,7,10,10,100,0,0,0,0,1
AD Russell,2021-2021,3,1,0,7,7,7,6,116.66,0,0,0,0,1
DC Drakes,2021-2021,3,2,0,5,5,2.5,7,71.42,0,0,1,1,0
AM McCarthy,2018-2018,1,1,0,5,5,5,8,62.5,0,0,0,0,0
AJ Hosein,2021-2021,6,2,1,3,2,3,3,100,0,0,0,0,0
DC Thomas,2021-2021,1,1,0,2,2,2,4,50,0,0,0,0,0
O Thomas,2021-2021,3,2,0,1,1,0.5,4,25,0,0,1,0,0
KOK Williams,2017-2018,6,2,0,1,1,0.5,3,33.33,0,0,1,0,0
HR Walsh,2021-2021,6,1,0,0,0,0,1,0,0,0,1,0,0
